code;code_id;image_path
W092-0500L-1S;1821230;/assets/inventory/077-LIQUID MAN.jpg
W092-0025L-1S;1821231;/assets/inventory/077-LIQUID MAN.jpg
W092-0100L-1S;1821232;/assets/inventory/077-LIQUID MAN.jpg
W092-0200L-1S;1821233;/assets/inventory/077-LIQUID MAN.jpg
W092-0350L-1S;1821234;/assets/inventory/077-LIQUID MAN.jpg
W092-0050L-1S;1821235;/assets/inventory/077-LIQUID MAN.jpg
W092-0500C-1S;1821236;/assets/inventory/082 MAN 2.jpg
W092-0025C-1S;1821237;/assets/inventory/082 MAN 2.jpg
W092-0100C-1S;1821238;/assets/inventory/082 MAN 2.jpg
W092-0200C-1S;1821239;/assets/inventory/082 MAN 2.jpg
W092-0350C-1S;1821240;/assets/inventory/082 MAN 2.jpg
W092-0050C-1S;1821241;/assets/inventory/082 MAN 2.jpg
W092-0500C-1S-GAUGE;1821242;/assets/inventory/082 MAN 2000.jpg
W092-0025C-1S-GAUGE;1821243;/assets/inventory/082 MAN 2000.jpg
W092-0050C-1S-GAUGE;1821244;/assets/inventory/082 MAN 2000.jpg
W092-0100C-1S-GAUGE;1821245;/assets/inventory/082 MAN 2000.jpg
W092-0200C-1S-GAUGE;1821246;/assets/inventory/082 MAN 2000.jpg
W092-0350C-1S-GAUGE;1821247;/assets/inventory/082 MAN 2000.jpg
W092-0500L-1S-GAUGE;1821248;/assets/inventory/077-STANDART MAN.jpg
W092-0025L-1S-GAUGE;1821249;/assets/inventory/077-STANDART MAN.jpg
W092-0050L-1S-GAUGE;1821250;/assets/inventory/077-STANDART MAN.jpg
W092-0100L-1S-GAUGE;1821251;/assets/inventory/077-STANDART MAN.jpg
W092-0200L-1S-GAUGE;1821252;/assets/inventory/077-STANDART MAN.jpg
W092-0350L-1S-GAUGE;1821253;/assets/inventory/077-STANDART MAN.jpg
