code;code_id;image_path
092-0025L-1S;1821254;/assets/inventory/077-LIQUID MAN 2.jpg
092-0050L-1S;1821255;/assets/inventory/077-LIQUID MAN 2.jpg
092-0100L-1S;1821256;/assets/inventory/077-LIQUID MAN 2.jpg
092-0200L-1S;1821257;/assets/inventory/077-LIQUID MAN 2.jpg
092-0200L-1S-V;1821258;/assets/inventory/077-LIQUID MAN 2.jpg
092-0350L-1S;1821259;/assets/inventory/077-LIQUID MAN 2.jpg
092-0025C-1S;1821260;/assets/inventory/082 MAN 2.jpg
092-0050C-1S;1821261;/assets/inventory/082 MAN 2.jpg
092-0100C-1S;1821262;/assets/inventory/082 MAN 2.jpg
092-0200C-1S;1821263;/assets/inventory/082 MAN 2.jpg
092-0350C-1S;1821264;/assets/inventory/082 MAN 2.jpg
092-0025C-1S-GAUGE;1821265;/assets/inventory/082 MAN 2000.jpg
092-0050C-1S-GAUGE;1821266;/assets/inventory/082 MAN 2000.jpg
092-0100C-1S-GAUGE;1821267;/assets/inventory/082 MAN 2000.jpg
092-0200C-1S-GAUGE;1821268;/assets/inventory/082 MAN 2000.jpg
092-0350C-1S-GAUGE;1821269;/assets/inventory/082 MAN 2000.jpg
092-0025L-1S-GAUGE;1821270;/assets/inventory/077-STANDART MAN.jpg
092-0050L-1S-GAUGE;1821271;/assets/inventory/077-STANDART MAN.jpg
092-0100L-1S-GAUGE;1821272;/assets/inventory/077-STANDART MAN.jpg
092-0200L-1S-GAUGE;1821273;/assets/inventory/077-STANDART MAN.jpg
092-0350L-1S-GAUGE;1821274;/assets/inventory/077-STANDART MAN.jpg
