code;code_id;image_path
H1B-H-6M-ML-AEB-220AC/24DC;563563;/assets/inventory/105_H_s100.jpg
H1B-H-10M-ML-AEB-220AC/24DC;563564;/assets/inventory/105_H_s100.jpg
H1B-H-12M-ML-AEB-220AC/24DC;563565;/assets/inventory/105_H_s100.jpg
H1B-H-14M-ML-AEB-220AC/24DC;563566;/assets/inventory/105_H_s100.jpg
H2B-H-16M-ML-AEB-220AC/24DC;563567;/assets/inventory/105_H_s100.jpg
H2B-H-18M-ML-AEB-220AC/24DC;563568;/assets/inventory/105_H_s100.jpg
H3B-H-20M-ML-AEB-220AC/24DC;563569;/assets/inventory/105_H_s100.jpg
H3B-H-25M-ML-AEB-220AC/24DC;563570;/assets/inventory/105_H_s100.jpg
H1B-F-4N-ML-AEB-220AC/24DC;563571;/assets/inventory/105_F_s100.jpg
H1B-F-8N-ML-AEB-220AC/24DC;563572;/assets/inventory/105_F_s100.jpg
HB1-H-3M-AEB-220AC/24DC;563573;/assets/inventory/102_H_s100.jpg
HB1-H-6M-AEB-220AC/24DC;563574;/assets/inventory/102_H_s100.jpg
HB2-H-8M-AEB-220AC/24DC;563575;/assets/inventory/102_H_s100.jpg
HB2-H-10M-AEB-220AC/24DC;563576;/assets/inventory/102_H_s100.jpg
HB3-H-12M-AEB-220AC/24DC;563577;/assets/inventory/102_H_s100.jpg
HB3-H-16M-AEB-220AC/24DC;563578;/assets/inventory/102_H_s100.jpg
HB1-M-2N-AEB-220AC/24DC;563579;/assets/inventory/102_M_s100.jpg
HB1-M-4N-AEB-220AC/24DC;563580;/assets/inventory/102_M_s100.jpg
HB1-F-2N-AEB-220AC/24DC;563581;/assets/inventory/102_F_s100.jpg
HB2-F-4N-AEB-220AC/24DC;563582;/assets/inventory/102_F_s100.jpg
HB3-F-6N-AEB-220AC/24DC;563583;/assets/inventory/102_F_s100.jpg
HB3-F-8N-AEB-220AC/24DC;563584;/assets/inventory/102_F_s100.jpg"
H1B-H-6M-PK-ML-AEB-220AC/24DC;563585;/assets/inventory/105_H_s100.jpg
H1B-H-10M-PK-ML-AEB-220AC/24DC;563586;/assets/inventory/105_H_s100.jpg
H1B-H-12M-PK-ML-AEB-220AC/24DC;563587;/assets/inventory/105_H_s100.jpg
H1B-H-14M-PK-ML-AEB-220AC/24DC;563588;/assets/inventory/105_H_s100.jpg
H2B-H-16M-PK-ML-AEB-220AC/24DC;563589;/assets/inventory/105_H_s100.jpg
H2B-H-18M-PK-ML-AEB-220AC/24DC;563590;/assets/inventory/105_H_s100.jpg
H3B-H-20M-PK-ML-AEB-220AC/24DC;563591;/assets/inventory/105_H_s100.jpg
H3B-H-25M-PK-ML-AEB-220AC/24DC;563592;/assets/inventory/105_H_s100.jpg
