code;code_id;image_path
CFB-3M;1857648;/assets/inventory/default.png
CFB-3M-BRAS;1857649;/assets/inventory/default.png
CFB-3M-STEL;1857650;/assets/inventory/default.png
CFB-4M;1857651;/assets/inventory/default.png
CFB-4M-BRAS;1857652;/assets/inventory/default.png
CFB-4M-STEL;1857653;/assets/inventory/default.png
CFB-6M;1857654;/assets/inventory/default.png
CFB-6M-BRAS;1857655;/assets/inventory/default.png
CFB-6M-STEL;1857656;/assets/inventory/default.png
CFB-8M;1857657;/assets/inventory/default.png
CFB-8M-BRAS;1857658;/assets/inventory/default.png
CFB-8M-STEL;1857659;/assets/inventory/default.png
CFB-10M;1857660;/assets/inventory/default.png
CFB-10M-BRAS;1857661;/assets/inventory/default.png
CFB-10M-STEL;1857662;/assets/inventory/default.png
CFB-12M;1857663;/assets/inventory/default.png
CFB-12M-BRAS;1857664;/assets/inventory/default.png
CFB-12M-STEL;1857665;/assets/inventory/default.png
CFB-14M;1857666;/assets/inventory/default.png
CFB-14M-BRAS;1857667;/assets/inventory/default.png
CFB-14M-STEL;1857668;/assets/inventory/default.png
CFB-16M;1857669;/assets/inventory/default.png
CFB-16M-BRAS;1857670;/assets/inventory/default.png
CFB-16M-STEL;1857671;/assets/inventory/default.png
CFB-20M;1857672;/assets/inventory/default.png
CFB-20M-BRAS;1857673;/assets/inventory/default.png
CFB-20M-STEL;1857674;/assets/inventory/default.png
CFB-22M;1857675;/assets/inventory/default.png
CFB-22M-BRAS;1857676;/assets/inventory/default.png
CFB-22M-STEL;1857677;/assets/inventory/default.png
CFB-25M;1857678;/assets/inventory/default.png
CFB-25M-BRAS;1857679;/assets/inventory/default.png
CFB-25M-STEL;1857680;/assets/inventory/default.png
CFB-32M;1857681;/assets/inventory/default.png
CFB-32M-BRAS;1857682;/assets/inventory/default.png
CFB-32M-STEL;1857683;/assets/inventory/default.png
CFB-38M;1857684;/assets/inventory/default.png
CFB-38M-BRAS;1857685;/assets/inventory/default.png
CFB-38M-STEL;1857686;/assets/inventory/default.png
CFB-50M;1857687;/assets/inventory/default.png
CFB-50M-BRAS;1857688;/assets/inventory/default.png
CFB-50M-STEL;1857689;/assets/inventory/default.png
