code;code_id;image_path
CNFS-2M  ;1869375;/assets/inventory/default.png
CNFS-2M  -BRAS;1869376;/assets/inventory/default.png
CNFS-2M  -STEL;1869377;/assets/inventory/default.png
CNFS-3M  ;1869378;/assets/inventory/default.png
CNFS-3M  -BRAS;1869379;/assets/inventory/default.png
CNFS-3M  -STEL;1869380;/assets/inventory/default.png
CNFS-4M  ;1869381;/assets/inventory/default.png
CNFS-4M  -BRAS;1869382;/assets/inventory/default.png
CNFS-4M  -STEL;1869383;/assets/inventory/default.png
CNFS-6M  ;1869384;/assets/inventory/default.png
CNFS-6M  -BRAS;1869385;/assets/inventory/default.png
CNFS-6M  -STEL;1869386;/assets/inventory/default.png
CNFS-8M  ;1869387;/assets/inventory/default.png
CNFS-8M  -BRAS;1869388;/assets/inventory/default.png
CNFS-8M  -STEL;1869389;/assets/inventory/default.png
CNFS-10M  ;1869390;/assets/inventory/default.png
CNFS-10M  -BRAS;1869391;/assets/inventory/default.png
CNFS-10M  -STEL;1869392;/assets/inventory/default.png
CNFS-12M  ;1869393;/assets/inventory/default.png
CNFS-12M  -BRAS;1869394;/assets/inventory/default.png
CNFS-12M  -STEL;1869395;/assets/inventory/default.png
CNFS-14M  ;1869396;/assets/inventory/default.png
CNFS-14M  -BRAS;1869397;/assets/inventory/default.png
CNFS-14M  -STEL;1869398;/assets/inventory/default.png
CNFS-15M  ;1869399;/assets/inventory/default.png
CNFS-15M  -BRAS;1869400;/assets/inventory/default.png
CNFS-15M  -STEL;1869401;/assets/inventory/default.png
CNFS-16M  ;1869402;/assets/inventory/default.png
CNFS-16M  -BRAS;1869403;/assets/inventory/default.png
CNFS-16M  -STEL;1869404;/assets/inventory/default.png
CNFS-18M  ;1869405;/assets/inventory/default.png
CNFS-18M  -BRAS;1869406;/assets/inventory/default.png
CNFS-18M  -STEL;1869407;/assets/inventory/default.png
CNFS-20M  ;1869408;/assets/inventory/default.png
CNFS-20M  -BRAS;1869409;/assets/inventory/default.png
CNFS-20M  -STEL;1869410;/assets/inventory/default.png
CNFS-22M  ;1869411;/assets/inventory/default.png
CNFS-22M  -BRAS;1869412;/assets/inventory/default.png
CNFS-22M  -STEL;1869413;/assets/inventory/default.png
CNFS-25M  ;1869414;/assets/inventory/default.png
CNFS-25M  -BRAS;1869415;/assets/inventory/default.png
CNFS-25M  -STEL;1869416;/assets/inventory/default.png
CNFS-32M  ;1869417;/assets/inventory/default.png
CNFS-32M  -BRAS;1869418;/assets/inventory/default.png
CNFS-32M  -STEL;1869419;/assets/inventory/default.png
CNFS-38M  ;1869420;/assets/inventory/default.png
CNFS-38M  -BRAS;1869421;/assets/inventory/default.png
CNFS-38M  -STEL;1869422;/assets/inventory/default.png
CNFS-50M  ;1869423;/assets/inventory/default.png
CNFS-50M  -BRAS;1869424;/assets/inventory/default.png
CNFS-50M  -STEL;1869425;/assets/inventory/default.png
