code;code_id;image_path
SU-1;527433;/assets/inventory/default.png
SS-100-6;527434;/assets/inventory/default.png
1SC1-316;527435;/assets/inventory/default.png
762L SS 1/16;527436;/assets/inventory/default.png
SU-2;527437;/assets/inventory/default.png
SS-200-6;527438;/assets/inventory/default.png
2SC2-316;527439;/assets/inventory/default.png
762L SS 1/8;527440;/assets/inventory/default.png
SU-3;527441;/assets/inventory/default.png
SS-300-6;527442;/assets/inventory/default.png
3SC3-316;527443;/assets/inventory/default.png
762L SS 3/16;527444;/assets/inventory/default.png
SU-4;527445;/assets/inventory/default.png
SS-400-6;527446;/assets/inventory/default.png
4SC4-316;527447;/assets/inventory/default.png
762L SS 1/4;527448;/assets/inventory/default.png
SU-5;527449;/assets/inventory/default.png
SS-500-6;527450;/assets/inventory/default.png
5SC5-316;527451;/assets/inventory/default.png
762L SS 5/16;527452;/assets/inventory/default.png
SU-6;527453;/assets/inventory/default.png
SS-600-6;527454;/assets/inventory/default.png
6SC6-316;527455;/assets/inventory/default.png
762L SS 3/8;527456;/assets/inventory/default.png
SU-8;527457;/assets/inventory/default.png
SS-810-6;527458;/assets/inventory/default.png
8SC8-316;527459;/assets/inventory/default.png
762L SS 1/2;527460;/assets/inventory/default.png
SU-10;527461;/assets/inventory/default.png
SS-1010-6;527462;/assets/inventory/default.png
10SC10-316;527463;/assets/inventory/default.png
762L SS 5/8;527464;/assets/inventory/default.png
SU-12;527465;/assets/inventory/default.png
SS-1210-6;527466;/assets/inventory/default.png
12SC12-316;527467;/assets/inventory/default.png
762L SS 3/4;527468;/assets/inventory/default.png
SU-14;527469;/assets/inventory/default.png
SS-1410-6;527470;/assets/inventory/default.png
14SC14-316;527471;/assets/inventory/default.png
762L SS 7/8;527472;/assets/inventory/default.png
SU-16;527473;/assets/inventory/default.png
SS-1610-6;527474;/assets/inventory/default.png
16SC16-316;527475;/assets/inventory/default.png
762L SS 1;527476;/assets/inventory/default.png
SU-20;527477;/assets/inventory/default.png
SS-2000-6;527478;/assets/inventory/default.png
20SC20-316;527479;/assets/inventory/default.png
762L SS 1-1/4;527480;/assets/inventory/default.png
SU-24;527481;/assets/inventory/default.png
SS-2400-6;527482;/assets/inventory/default.png
24SC24-316;527483;/assets/inventory/default.png
762L SS 1-1/2;527484;/assets/inventory/default.png
SU-32;527485;/assets/inventory/default.png
SS-3200-6;527486;/assets/inventory/default.png
32SC32-316;527487;/assets/inventory/default.png
762L SS 2;527488;/assets/inventory/default.png
SU-1;545024;/assets/inventory/default.png
SS-100-6;545025;/assets/inventory/default.png
1SC1-316;545026;/assets/inventory/default.png
762L SS 1/16;545027;/assets/inventory/default.png
SU-2;545028;/assets/inventory/default.png
SS-200-6;545029;/assets/inventory/default.png
2SC2-316;545030;/assets/inventory/default.png
762L SS 1/8;545031;/assets/inventory/default.png
SU-3;545032;/assets/inventory/default.png
SS-300-6;545033;/assets/inventory/default.png
3SC3-316;545034;/assets/inventory/default.png
762L SS 3/16;545035;/assets/inventory/default.png
SU-4;545036;/assets/inventory/default.png
SS-400-6;545037;/assets/inventory/default.png
4SC4-316;545038;/assets/inventory/default.png
762L SS 1/4;545039;/assets/inventory/default.png
SU-5;545040;/assets/inventory/default.png
SS-500-6;545041;/assets/inventory/default.png
5SC5-316;545042;/assets/inventory/default.png
762L SS 5/16;545043;/assets/inventory/default.png
SU-6;545044;/assets/inventory/default.png
SS-600-6;545045;/assets/inventory/default.png
6SC6-316;545046;/assets/inventory/default.png
762L SS 3/8;545047;/assets/inventory/default.png
SU-8;545048;/assets/inventory/default.png
SS-810-6;545049;/assets/inventory/default.png
8SC8-316;545050;/assets/inventory/default.png
762L SS 1/2;545051;/assets/inventory/default.png
SU-10;545052;/assets/inventory/default.png
SS-1010-6;545053;/assets/inventory/default.png
10SC10-316;545054;/assets/inventory/default.png
762L SS 5/8;545055;/assets/inventory/default.png
SU-12;545056;/assets/inventory/default.png
SS-1210-6;545057;/assets/inventory/default.png
12SC12-316;545058;/assets/inventory/default.png
762L SS 3/4;545059;/assets/inventory/default.png
SU-14;545060;/assets/inventory/default.png
SS-1410-6;545061;/assets/inventory/default.png
14SC14-316;545062;/assets/inventory/default.png
762L SS 7/8;545063;/assets/inventory/default.png
SU-16;545064;/assets/inventory/default.png
SS-1610-6;545065;/assets/inventory/default.png
16SC16-316;545066;/assets/inventory/default.png
762L SS 1;545067;/assets/inventory/default.png
SU-20;545068;/assets/inventory/default.png
SS-2000-6;545069;/assets/inventory/default.png
20SC20-316;545070;/assets/inventory/default.png
762L SS 1-1/4;545071;/assets/inventory/default.png
SU-24;545072;/assets/inventory/default.png
SS-2400-6;545073;/assets/inventory/default.png
24SC24-316;545074;/assets/inventory/default.png
762L SS 1-1/2;545075;/assets/inventory/default.png
SU-32;545076;/assets/inventory/default.png
SS-3200-6;545077;/assets/inventory/default.png
32SC32-316;545078;/assets/inventory/default.png
762L SS 2;545079;/assets/inventory/default.png
