code;code_id;image_path
DBU-06L;1872834;/assets/inventory/default.png
DBU-06L-STEL;1872835;/assets/inventory/default.png
DBU-06L-BRAS;1872836;/assets/inventory/default.png
DBU-08L;1872837;/assets/inventory/default.png
DBU-08L-STEL;1872838;/assets/inventory/default.png
DBU-08L-BRAS;1872839;/assets/inventory/default.png
DBU-10L;1872840;/assets/inventory/default.png
DBU-10L-STEL;1872841;/assets/inventory/default.png
DBU-10L-BRAS;1872842;/assets/inventory/default.png
DBU-12L;1872843;/assets/inventory/default.png
DBU-12L-STEL;1872844;/assets/inventory/default.png
DBU-12L-BRAS;1872845;/assets/inventory/default.png
DBU-15L;1872846;/assets/inventory/default.png
DBU-15L-STEL;1872847;/assets/inventory/default.png
DBU-15L-BRAS;1872848;/assets/inventory/default.png
DBU-18L;1872849;/assets/inventory/default.png
DBU-18L-STEL;1872850;/assets/inventory/default.png
DBU-18L-BRAS;1872851;/assets/inventory/default.png
DBU-22L;1872852;/assets/inventory/default.png
DBU-22L-STEL;1872853;/assets/inventory/default.png
DBU-22L-BRAS;1872854;/assets/inventory/default.png
DBU-28L;1872855;/assets/inventory/default.png
DBU-28L-STEL;1872856;/assets/inventory/default.png
DBU-28L-BRAS;1872857;/assets/inventory/default.png
DBU-35L;1872858;/assets/inventory/default.png
DBU-35L-STEL;1872859;/assets/inventory/default.png
DBU-35L-BRAS;1872860;/assets/inventory/default.png
DBU-42L;1872861;/assets/inventory/default.png
DBU-42L-STEL;1872862;/assets/inventory/default.png
DBU-42L-BRAS;1872863;/assets/inventory/default.png
