code;code_id;image_path
DBUW-06S;1872924;/assets/inventory/default.png
DBUW-06S-STEL;1872925;/assets/inventory/default.png
DBUW-06S-BRAS;1872926;/assets/inventory/default.png
DBUW-08S;1872927;/assets/inventory/default.png
DBUW-08S-STEL;1872928;/assets/inventory/default.png
DBUW-08S-BRAS;1872929;/assets/inventory/default.png
DBUW-10S;1872930;/assets/inventory/default.png
DBUW-10S-STEL;1872931;/assets/inventory/default.png
DBUW-10S-BRAS;1872932;/assets/inventory/default.png
DBUW-12S;1872933;/assets/inventory/default.png
DBUW-12S-STEL;1872934;/assets/inventory/default.png
DBUW-12S-BRAS;1872935;/assets/inventory/default.png
DBUW-14S;1872936;/assets/inventory/default.png
DBUW-14S-STEL;1872937;/assets/inventory/default.png
DBUW-14S-BRAS;1872938;/assets/inventory/default.png
DBUW-16S;1872939;/assets/inventory/default.png
DBUW-16S-STEL;1872940;/assets/inventory/default.png
DBUW-16S-BRAS;1872941;/assets/inventory/default.png
DBUW-20S;1872942;/assets/inventory/default.png
DBUW-20S-STEL;1872943;/assets/inventory/default.png
DBUW-20S-BRAS;1872944;/assets/inventory/default.png
DBUW-25S;1872945;/assets/inventory/default.png
DBUW-25S-STEL;1872946;/assets/inventory/default.png
DBUW-25S-BRAS;1872947;/assets/inventory/default.png
DBUW-30S;1872948;/assets/inventory/default.png
DBUW-30S-STEL;1872949;/assets/inventory/default.png
DBUW-30S-BRAS;1872950;/assets/inventory/default.png
DBUW-38S;1872951;/assets/inventory/default.png
DBUW-38S-STEL;1872952;/assets/inventory/default.png
DBUW-38S-BRAS;1872953;/assets/inventory/default.png
