code;code_id;image_path
DC-06L;1872954;/assets/inventory/default.png
DC-06L-STEL;1872955;/assets/inventory/default.png
DC-06L-BRAS;1872956;/assets/inventory/default.png
DC-08L;1872957;/assets/inventory/default.png
DC-08L-STEL;1872958;/assets/inventory/default.png
DC-08L-BRAS;1872959;/assets/inventory/default.png
DC-10L;1872960;/assets/inventory/default.png
DC-10L-STEL;1872961;/assets/inventory/default.png
DC-10L-BRAS;1872962;/assets/inventory/default.png
DC-12L;1872963;/assets/inventory/default.png
DC-12L-STEL;1872964;/assets/inventory/default.png
DC-12L-BRAS;1872965;/assets/inventory/default.png
DC-15L;1872966;/assets/inventory/default.png
DC-15L-STEL;1872967;/assets/inventory/default.png
DC-15L-BRAS;1872968;/assets/inventory/default.png
DC-18L;1872969;/assets/inventory/default.png
DC-18L-STEL;1872970;/assets/inventory/default.png
DC-18L-BRAS;1872971;/assets/inventory/default.png
DC-22L;1872972;/assets/inventory/default.png
DC-22L-STEL;1872973;/assets/inventory/default.png
DC-22L-BRAS;1872974;/assets/inventory/default.png
DC-28L;1872975;/assets/inventory/default.png
DC-28L-STEL;1872976;/assets/inventory/default.png
DC-28L-BRAS;1872977;/assets/inventory/default.png
DC-35L;1872978;/assets/inventory/default.png
DC-35L-STEL;1872979;/assets/inventory/default.png
DC-35L-BRAS;1872980;/assets/inventory/default.png
DC-42L;1872981;/assets/inventory/default.png
DC-42L-STEL;1872982;/assets/inventory/default.png
DC-42L-BRAS;1872983;/assets/inventory/default.png
