code;code_id;image_path
DC-06S;1872999;/assets/inventory/default.png
DC-06S-STEL;1873000;/assets/inventory/default.png
DC-06S-BRAS;1873001;/assets/inventory/default.png
DC-08S;1873002;/assets/inventory/default.png
DC-08S-STEL;1873003;/assets/inventory/default.png
DC-08S-BRAS;1873004;/assets/inventory/default.png
DC-10S;1873005;/assets/inventory/default.png
DC-10S-STEL;1873006;/assets/inventory/default.png
DC-10S-BRAS;1873007;/assets/inventory/default.png
DC-12S;1873008;/assets/inventory/default.png
DC-12S-STEL;1873009;/assets/inventory/default.png
DC-12S-BRAS;1873010;/assets/inventory/default.png
DC-14S;1873011;/assets/inventory/default.png
DC-14S-STEL;1873012;/assets/inventory/default.png
DC-14S-BRAS;1873013;/assets/inventory/default.png
DC-16S;1873014;/assets/inventory/default.png
DC-16S-STEL;1873015;/assets/inventory/default.png
DC-16S-BRAS;1873016;/assets/inventory/default.png
DC-20S;1873017;/assets/inventory/default.png
DC-20S-STEL;1873018;/assets/inventory/default.png
DC-20S-BRAS;1873019;/assets/inventory/default.png
DC-25S;1873020;/assets/inventory/default.png
DC-25S-STEL;1873021;/assets/inventory/default.png
DC-25S-BRAS;1873022;/assets/inventory/default.png
DC-30S;1873023;/assets/inventory/default.png
DC-30S-STEL;1873024;/assets/inventory/default.png
DC-30S-BRAS;1873025;/assets/inventory/default.png
DC-38S;1873026;/assets/inventory/default.png
DC-38S-STEL;1873027;/assets/inventory/default.png
DC-38S-BRAS;1873028;/assets/inventory/default.png
