code;code_id;image_path
DMC-06L-M10ED;1874592;/assets/inventory/default.png
DMC-06L-M10ED-STEL;1874593;/assets/inventory/default.png
DMC-06L-M10ED-BRAS;1874594;/assets/inventory/default.png
DMC-08L-M12ED;1874595;/assets/inventory/default.png
DMC-08L-M12ED-STEL;1874596;/assets/inventory/default.png
DMC-08L-M12ED-BRAS;1874597;/assets/inventory/default.png
DMC-10L-M14ED;1874598;/assets/inventory/default.png
DMC-10L-M14ED-STEL;1874599;/assets/inventory/default.png
DMC-10L-M14ED-BRAS;1874600;/assets/inventory/default.png
DMC-10L-M16ED;1874601;/assets/inventory/default.png
DMC-10L-M16ED-STEL;1874602;/assets/inventory/default.png
DMC-10L-M16ED-BRAS;1874603;/assets/inventory/default.png
DMC-10L-M22ED;1874604;/assets/inventory/default.png
DMC-10L-M22ED-STEL;1874605;/assets/inventory/default.png
DMC-10L-M22ED-BRAS;1874606;/assets/inventory/default.png
DMC-12L-M16ED;1874607;/assets/inventory/default.png
DMC-12L-M16ED-STEL;1874608;/assets/inventory/default.png
DMC-12L-M16ED-BRAS;1874609;/assets/inventory/default.png
DMC-12L-M18ED;1874610;/assets/inventory/default.png
DMC-12L-M18ED-STEL;1874611;/assets/inventory/default.png
DMC-12L-M18ED-BRAS;1874612;/assets/inventory/default.png
DMC-12L-M22ED;1874613;/assets/inventory/default.png
DMC-12L-M22ED-STEL;1874614;/assets/inventory/default.png
DMC-12L-M22ED-BRAS;1874615;/assets/inventory/default.png
DMC-15L-M18ED;1874616;/assets/inventory/default.png
DMC-15L-M18ED-STEL;1874617;/assets/inventory/default.png
DMC-15L-M18ED-BRAS;1874618;/assets/inventory/default.png
DMC-15L-M22ED;1874619;/assets/inventory/default.png
DMC-15L-M22ED-STEL;1874620;/assets/inventory/default.png
DMC-15L-M22ED-BRAS;1874621;/assets/inventory/default.png
DMC-18L-M18ED;1874622;/assets/inventory/default.png
DMC-18L-M18ED-STEL;1874623;/assets/inventory/default.png
DMC-18L-M18ED-BRAS;1874624;/assets/inventory/default.png
DMC-18L-M22ED;1874625;/assets/inventory/default.png
DMC-18L-M22ED-STEL;1874626;/assets/inventory/default.png
DMC-18L-M22ED-BRAS;1874627;/assets/inventory/default.png
DMC-22L-M26ED;1874628;/assets/inventory/default.png
DMC-22L-M26ED-STEL;1874629;/assets/inventory/default.png
DMC-22L-M26ED-BRAS;1874630;/assets/inventory/default.png
DMC-28L-M33ED;1874631;/assets/inventory/default.png
DMC-28L-M33ED-STEL;1874632;/assets/inventory/default.png
DMC-28L-M33ED-BRAS;1874633;/assets/inventory/default.png
DMC-35L-M42ED;1874634;/assets/inventory/default.png
DMC-35L-M42ED-STEL;1874635;/assets/inventory/default.png
DMC-35L-M42ED-BRAS;1874636;/assets/inventory/default.png
DMC-42L-M48ED;1874637;/assets/inventory/default.png
DMC-42L-M48ED-STEL;1874638;/assets/inventory/default.png
DMC-42L-M48ED-BRAS;1874639;/assets/inventory/default.png
