code;code_id;image_path
DR701-SP-070-NP1;1828530;/assets/inventory/DR70-BP.png
DR701-SP-010-NP2;1828531;/assets/inventory/DR70-BP.png
DR701-SP-025-NP2;1828532;/assets/inventory/DR70-BP.png
DR701-SP-050-NP2;1828533;/assets/inventory/DR70-BP.png
DR701-SP-070-NP2;1828534;/assets/inventory/DR70-BP.png
DR701-SP-010-NP3;1828535;/assets/inventory/DR70-BP.png
DR701-SP-025-NP3;1828536;/assets/inventory/DR70-BP.png
DR701-SP-050-NP3;1828537;/assets/inventory/DR70-BP.png
DR701-SP-070-NP3;1828538;/assets/inventory/DR70-BP.png
DR702-SP-070-NP1;1828539;/assets/inventory/DR70-BP 2.png
DR702-SP-010-NP2;1828540;/assets/inventory/DR70-BP 2.png
DR702-SP-025-NP2;1828541;/assets/inventory/DR70-BP 2.png
DR702-SP-050-NP2;1828542;/assets/inventory/DR70-BP 2.png
DR702-SP-070-NP2;1828543;/assets/inventory/DR70-BP 2.png
DR702-SP-010-NP3;1828544;/assets/inventory/DR70-BP 2.png
DR702-SP-025-NP3;1828545;/assets/inventory/DR70-BP 2.png
DR702-SP-050-NP3;1828546;/assets/inventory/DR70-BP 2.png
DR702-SP-070-NP3;1828547;/assets/inventory/DR70-BP 2.png
