code;code_id;image_path
DRA700-A025-HPS-4L-GOS;1828712;DRA700 G0S.jpg
DRA700-A050-HPS-4L-GOS;1828713;/assets/inventory/DRA700 G0S.jpg
DRA700-A100-HPS-4L-GOS;1828714;/assets/inventory/DRA700 G0S.jpg
DRA700-A250-HPS-4L-GOS;1828715;/assets/inventory/DRA700 G0S.jpg
DRA700-A025-HPO-8L-GOS;1828716;/assets/inventory/DRA700 G0S.jpg
DRA700-A050-HPO-8L-GOS;1828717;/assets/inventory/DRA700 G0S.jpg
DRA700-A100-HPO-8L-GOS;1828718;/assets/inventory/DRA700 G0S.jpg
DRA700-A250-HPO-8L-GOS;1828719;/assets/inventory/DRA700 G0S.jpg
DRA700-A025-HPS-2L-GOS;1828720;/assets/inventory/DRA700 G0S.jpg
DRA700-A050-HPS-2L-GOS;1828721;/assets/inventory/DRA700 G0S.jpg
DRA700-A100-HPS-2L-GOS;1828722;/assets/inventory/DRA700 G0S.jpg
DRA700-A250-HPS-2L-GOS;1828723;/assets/inventory/DRA700 G0S.jpg
DRA700-A025-HPS-3L-GOS;1828724;/assets/inventory/DRA700 G0S.jpg
DRA700-A050-HPS-3L-GOS;1828725;/assets/inventory/DRA700 G0S.jpg
DRA700-A100-HPS-3L-GOS;1828726;/assets/inventory/DRA700 G0S.jpg
DRA700-A250-HPS-3L-GOS;1828727;/assets/inventory/DRA700 G0S.jpg
DRA700-A025-HPS-4L-G1S;1828728;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A050-HPS-4L-G1S;1828729;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A100-HPS-4L-G1S;1828730;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A250-HPS-4L-G1S;1828731;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A025-HPO-8L-G1S;1828732;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A050-HPO-8L-G1S;1828733;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A100-HPO-8L-G1S;1828734;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A250-HPO-8L-G1S;1828735;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A025-HPS-2L-G1S;1828736;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A050-HPS-2L-G1S;1828737;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A100-HPO-2L-G1S;1828738;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A250-HPO-2L-G1S;1828739;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A025-HPS-3L-G1S;1828740;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A050-HPS-3L-G1S;1828741;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A100-HPS-3L-G1S;1828742;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A250-HPS-3L-G1S;1828743;/assets/inventory/077-LIQUID MAN 2.jpg
DRA700-A025-HPS-4L-G2S;1828744;/assets/inventory/082 MAN 2.jpg
DRA700-A050-HPS-4L-G2S;1828745;/assets/inventory/082 MAN 2.jpg
DRA700-A100-HPS-4L-G2S;1828746;/assets/inventory/082 MAN 2.jpg
DRA700-A250-HPS-4L-G2S;1828747;/assets/inventory/082 MAN 2.jpg
DRA700-A025-HPO-8L-G2S;1828748;/assets/inventory/082 MAN 2.jpg
DRA700-A050-HPO-8L-G2S;1828749;/assets/inventory/082 MAN 2.jpg
DRA700-A100-HPO-8L-G2S;1828750;/assets/inventory/082 MAN 2.jpg
DRA700-A250-HPO-8L-G2S;1828751;/assets/inventory/082 MAN 2.jpg
DRA700-A025-HPS-2L-G2S;1828752;/assets/inventory/082 MAN 2.jpg
DRA700-A050-HPS-2L-G2S;1828753;/assets/inventory/082 MAN 2.jpg
DRA700-A100-HPS-2L-G2S;1828754;/assets/inventory/082 MAN 2.jpg
DRA700-A250-HPS-2L-G2S;1828755;/assets/inventory/082 MAN 2.jpg
DRA700-A025-HPS-3L-G2S;1828756;/assets/inventory/082 MAN 2.jpg
DRA700-A050-HPS-3L-G2S;1828757;/assets/inventory/082 MAN 2.jpg
DRA700-A100-HPS-3L-G2S;1828758;/assets/inventory/082 MAN 2.jpg
DRA700-A250-HPS-3L-G2S;1828759;/assets/inventory/082 MAN 2.jpg
