code;code_id;image_path
DTH-06S-M12;1876725;/assets/inventory/default.png
DTH-06S-M12-STEL;1876726;/assets/inventory/default.png
DTH-06S-M12-BRAS;1876727;/assets/inventory/default.png
DTH-08S-M14;1876728;/assets/inventory/default.png
DTH-08S-M14-STEL;1876729;/assets/inventory/default.png
DTH-08S-M14-BRAS;1876730;/assets/inventory/default.png
DTH-10S-M16;1876731;/assets/inventory/default.png
DTH-10S-M16-STEL;1876732;/assets/inventory/default.png
DTH-10S-M16-BRAS;1876733;/assets/inventory/default.png
DTH-12S-M18;1876734;/assets/inventory/default.png
DTH-12S-M18-STEL;1876735;/assets/inventory/default.png
DTH-12S-M18-BRAS;1876736;/assets/inventory/default.png
DTH-16S-M22;1876737;/assets/inventory/default.png
DTH-16S-M22-STEL;1876738;/assets/inventory/default.png
DTH-16S-M22-BRAS;1876739;/assets/inventory/default.png
DTH-20S-M27;1876740;/assets/inventory/default.png
DTH-20S-M27-STEL;1876741;/assets/inventory/default.png
DTH-20S-M27-BRAS;1876742;/assets/inventory/default.png
DTH-25S-M33;1876743;/assets/inventory/default.png
DTH-25S-M33-STEL;1876744;/assets/inventory/default.png
DTH-25S-M33-BRAS;1876745;/assets/inventory/default.png
DTH-30S-M42;1876746;/assets/inventory/default.png
DTH-30S-M42-STEL;1876747;/assets/inventory/default.png
DTH-30S-M42-BRAS;1876748;/assets/inventory/default.png
DTH-35S-M48;1876749;/assets/inventory/default.png
DTH-35S-M48-STEL;1876750;/assets/inventory/default.png
DTH-35S-M48-BRAS;1876751;/assets/inventory/default.png
