code;code_id;image_path
DUE-06S;1877028;/assets/inventory/default.png
DUE-06S-STEL;1877029;/assets/inventory/default.png
DUE-06S-BRAS;1877030;/assets/inventory/default.png
DUE-08S;1877031;/assets/inventory/default.png
DUE-08S-STEL;1877032;/assets/inventory/default.png
DUE-08S-BRAS;1877033;/assets/inventory/default.png
DUE-10S;1877034;/assets/inventory/default.png
DUE-10S-STEL;1877035;/assets/inventory/default.png
DUE-10S-BRAS;1877036;/assets/inventory/default.png
DUE-12S;1877037;/assets/inventory/default.png
DUE-12S-STEL;1877038;/assets/inventory/default.png
DUE-12S-BRAS;1877039;/assets/inventory/default.png
DUE-14S;1877040;/assets/inventory/default.png
DUE-14S-STEL;1877041;/assets/inventory/default.png
DUE-14S-BRAS;1877042;/assets/inventory/default.png
DUE-16S;1877043;/assets/inventory/default.png
DUE-16S-STEL;1877044;/assets/inventory/default.png
DUE-16S-BRAS;1877045;/assets/inventory/default.png
DUE-20S;1877046;/assets/inventory/default.png
DUE-20S-STEL;1877047;/assets/inventory/default.png
DUE-20S-BRAS;1877048;/assets/inventory/default.png
DUE-25S;1877049;/assets/inventory/default.png
DUE-25S-STEL;1877050;/assets/inventory/default.png
DUE-25S-BRAS;1877051;/assets/inventory/default.png
DUE-30S;1877052;/assets/inventory/default.png
DUE-30S-STEL;1877053;/assets/inventory/default.png
DUE-30S-BRAS;1877054;/assets/inventory/default.png
DUE-38S;1877055;/assets/inventory/default.png
DUE-38S-STEL;1877056;/assets/inventory/default.png
DUE-38S-BRAS;1877057;/assets/inventory/default.png
