code;code_id;image_path
G72-S-8N-100A-4bar-M21-OX;1830473;/assets/inventory/G72.png
G72-S-8N-100A-10bar-M21-OX;1830474;/assets/inventory/G72.png
G72-S-8N-100A-16bar-M21-OX;1830475;/assets/inventory/G72.png
G72-S-8N-100A-25bar-M21-OX;1830476;/assets/inventory/G72.png
G72-S-8N-100A-40bar-M21-OX;1830477;/assets/inventory/G72.png
G72-S-8N-100A-60bar-M21-OX;1830478;/assets/inventory/G72.png
G72-S-8N-100A-100bar-M21-OX;1830479;/assets/inventory/G72.png
G72-S-8N-100A-160bar-M21-OX;1830480;/assets/inventory/G72.png
G72-S-8N-100A-250bar-M21-OX;1830481;/assets/inventory/G72.png
G72-S-8N-100A-400bar-M21-OX;1830482;/assets/inventory/G72.png
G72-S-8N-100A-600bar-M21-OX;1830483;/assets/inventory/G72.png
