code;code_id;image_path
H-SML-2N;581439;/assets/inventory/H-SML.png
H-SML-2N-STEL;581440;/assets/inventory/H-SML.png
H-SML-2N-BRAS;581441;/assets/inventory/H-SML.png
H-SML-4N;581442;/assets/inventory/H-SML.png
H-SML-4N-STEL;581443;/assets/inventory/H-SML.png
H-SML-4N-BRAS;581444;/assets/inventory/H-SML.png
H-SML-6N;581445;/assets/inventory/H-SML.png
H-SML-6N-STEL;581446;/assets/inventory/H-SML.png
H-SML-6N-BRAS;581447;/assets/inventory/H-SML.png
H-SML-8N;581448;/assets/inventory/H-SML.png
H-SML-8N-STEL;581449;/assets/inventory/H-SML.png
H-SML-8N-BRAS;581450;/assets/inventory/H-SML.png
H-SML-12N;581451;/assets/inventory/H-SML.png
H-SML-12N-STEL;581452;/assets/inventory/H-SML.png
H-SML-12N-BRAS;581453;/assets/inventory/H-SML.png
H-SML-16N;581454;/assets/inventory/H-SML.png
H-SML-16N-STEL;581455;/assets/inventory/H-SML.png
H-SML-16N-BRAS;581456;/assets/inventory/H-SML.png
