code;code_id;image_path
H-SRT-2N;1878808;/assets/inventory/default.png
H-SRT-2N-STEL;1878809;/assets/inventory/default.png
H-SRT-2N-BRAS;1878810;/assets/inventory/default.png
H-SRT-4N;1878811;/assets/inventory/default.png
H-SRT-4N-STEL;1878812;/assets/inventory/default.png
H-SRT-4N-BRAS;1878813;/assets/inventory/default.png
H-SRT-6N;1878814;/assets/inventory/default.png
H-SRT-6N-STEL;1878815;/assets/inventory/default.png
H-SRT-6N-BRAS;1878816;/assets/inventory/default.png
H-SRT-8N;1878817;/assets/inventory/default.png
H-SRT-8N-STEL;1878818;/assets/inventory/default.png
H-SRT-8N-BRAS;1878819;/assets/inventory/default.png
H-SRT-12N;1878820;/assets/inventory/default.png
H-SRT-12N-STEL;1878821;/assets/inventory/default.png
H-SRT-12N-BRAS;1878822;/assets/inventory/default.png
H-SRT-16N;1878823;/assets/inventory/default.png
H-SRT-16N-STEL;1878824;/assets/inventory/default.png
H-SRT-16N-BRAS;1878825;/assets/inventory/default.png
