code;code_id;image_path
H-SWFC-4T;1879015;/assets/inventory/default.png
H-SWFC-4T-STEL;1879016;/assets/inventory/default.png
H-SWFC-4T-BRAS;1879017;/assets/inventory/default.png
H-SWFC-6T;1879018;/assets/inventory/default.png
H-SWFC-6T-STEL;1879019;/assets/inventory/default.png
H-SWFC-6T-BRAS;1879020;/assets/inventory/default.png
H-SWFC-8T;1879021;/assets/inventory/default.png
H-SWFC-8T-STEL;1879022;/assets/inventory/default.png
H-SWFC-8T-BRAS;1879023;/assets/inventory/default.png
H-SWFC-10T;1879024;/assets/inventory/default.png
H-SWFC-10T-STEL;1879025;/assets/inventory/default.png
H-SWFC-10T-BRAS;1879026;/assets/inventory/default.png
H-SWFC-12T;1879027;/assets/inventory/default.png
H-SWFC-12T-STEL;1879028;/assets/inventory/default.png
H-SWFC-12T-BRAS;1879029;/assets/inventory/default.png
H-SWFC-16T;1879030;/assets/inventory/default.png
H-SWFC-16T-STEL;1879031;/assets/inventory/default.png
H-SWFC-16T-BRAS;1879032;/assets/inventory/default.png
