code;code_id;image_path
H-SXA-2N;582079;/assets/inventory/H-SXA.png
H-SXA-2N-STEL;582080;/assets/inventory/H-SXA.png
H-SXA-2N-BRAS;582081;/assets/inventory/H-SXA.png
H-SXA-4N;582082;/assets/inventory/H-SXA.png
H-SXA-4N-STEL;582083;/assets/inventory/H-SXA.png
H-SXA-4N-BRAS;582084;/assets/inventory/H-SXA.png
H-SXA-6N;582085;/assets/inventory/H-SXA.png
H-SXA-6N-STEL;582086;/assets/inventory/H-SXA.png
H-SXA-6N-BRAS;582087;/assets/inventory/H-SXA.png
H-SXA-8N;582088;/assets/inventory/H-SXA.png
H-SXA-8N-STEL;582089;/assets/inventory/H-SXA.png
H-SXA-8N-BRAS;582090;/assets/inventory/H-SXA.png
H-SXA-12N;582091;/assets/inventory/H-SXA.png
H-SXA-12N-STEL;582092;/assets/inventory/H-SXA.png
H-SXA-12N-BRAS;582093;/assets/inventory/H-SXA.png
H-SXA-16N;582094;/assets/inventory/H-SXA.png
H-SXA-16N-STEL;582095;/assets/inventory/H-SXA.png
H-SXA-16N-BRAS;582096;/assets/inventory/H-SXA.png
