code,image_path
PS2000X-10R-A-1-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-20R-A-1-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-30R-A-1-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-60R-A-1-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-130R-A-1-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-240R-A-1-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-10R-A-1-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-20R-A-1-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-30R-A-1-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-60R-A-1-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-130R-A-1-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-240R-A-1-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-10R-A-1-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-20R-A-1-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-30R-A-1-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-60R-A-1-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-130R-A-1-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-240R-A-1-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-10R-A-1-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-20R-A-1-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-30R-A-1-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-60R-A-1-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-130R-A-1-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-240R-A-1-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-10R-A-1-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-20R-A-1-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-30R-A-1-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-60R-A-1-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-130R-A-1-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-240R-A-1-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-10R-A-1-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-20R-A-1-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-30R-A-1-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-60R-A-1-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-130R-A-1-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-240R-A-1-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-10R-A-2-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-20R-A-2-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-30R-A-2-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-60R-A-2-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-130R-A-2-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-240R-A-2-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-10R-A-2-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-20R-A-2-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-30R-A-2-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-60R-A-2-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-130R-A-2-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-240R-A-2-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-10R-A-2-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-20R-A-2-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-30R-A-2-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-60R-A-2-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-130R-A-2-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-240R-A-2-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-10R-A-2-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-20R-A-2-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-30R-A-2-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-60R-A-2-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-130R-A-2-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-240R-A-2-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-10R-A-2-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-20R-A-2-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-30R-A-2-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-60R-A-2-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-130R-A-2-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-240R-A-2-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-10R-A-2-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-20R-A-2-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-30R-A-2-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-60R-A-2-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-130R-A-2-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-240R-A-2-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-10R-A-M-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-20R-A-M-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-30R-A-M-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-60R-A-M-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-130R-A-M-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-240R-A-M-F-1-A,assets/inventory/PS2000X-1.png
PS2000X-10R-A-M-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-20R-A-M-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-30R-A-M-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-60R-A-M-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-130R-A-M-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-240R-A-M-F-1-B,assets/inventory/PS2000X-1.png
PS2000X-10R-A-M-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-20R-A-M-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-30R-A-M-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-60R-A-M-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-130R-A-M-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-240R-A-M-F-1-C,assets/inventory/PS2000X-1.png
PS2000X-10R-A-M-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-20R-A-M-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-30R-A-M-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-60R-A-M-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-130R-A-M-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-240R-A-M-F-2-A,assets/inventory/PS2000X-1.png
PS2000X-10R-A-M-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-20R-A-M-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-30R-A-M-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-60R-A-M-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-130R-A-M-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-240R-A-M-F-2-B,assets/inventory/PS2000X-1.png
PS2000X-10R-A-M-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-20R-A-M-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-30R-A-M-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-60R-A-M-F-2-C,assets/inventory/PS2000X-1.png
PS2000X-130R-A-M-F-2-C,assets/inventory/PS2000X-1.png
