code;code_id;image_path
SF100-A-1R-B-BT;483641;products/flow-control/float-flow-meter/sf100-bt.png
SF100-B-1R-B-BT;483642;products/flow-control/float-flow-meter/sf100-bt.png
SF100-C-1R-B-BT;483643;products/flow-control/float-flow-meter/sf100-bt.png
SF100-E-1R-B-BT;483644;products/flow-control/float-flow-meter/sf100-bt.png
SF100-F-1R-B-BT;483645;products/flow-control/float-flow-meter/sf100-bt.png
SF100-D-1R-B-BT;483646;products/flow-control/float-flow-meter/sf100-bt.png
SF100-G-1R-B-BT;483647;products/flow-control/float-flow-meter/sf100-bt.png
SF100-A-1R-B-LR;483648;products/flow-control/float-flow-meter/sf100-lr.png
SF100-B-1R-B-LR;483649;products/flow-control/float-flow-meter/sf100-lr.png
SF100-C-1R-B-LR;483650;products/flow-control/float-flow-meter/sf100-lr.png
SF100-E-1R-B-LR;483651;products/flow-control/float-flow-meter/sf100-lr.png
SF100-F-1R-B-LR;483652;products/flow-control/float-flow-meter/sf100-lr.png
SF100-D-1R-B-LR;483653;products/flow-control/float-flow-meter/sf100-lr.png
SF100-G-1R-B-LR;483654;products/flow-control/float-flow-meter/sf100-lr.png
SF100-A-1R-B-RL;483655;products/flow-control/float-flow-meter/sf100-rl.png
SF100-B-1R-B-RL;483656;products/flow-control/float-flow-meter/sf100-rl.png
SF100-C-1R-B-RL;483657;products/flow-control/float-flow-meter/sf100-rl.png
SF100-E-1R-B-RL;483658;products/flow-control/float-flow-meter/sf100-rl.png
SF100-F-1R-B-RL;483659;products/flow-control/float-flow-meter/sf100-rl.png
SF100-D-1R-B-RL;483660;products/flow-control/float-flow-meter/sf100-rl.png
SF100-G-1R-B-RL;483661;products/flow-control/float-flow-meter/sf100-rl.png
SF100-A-1R-B-TB;483662;products/flow-control/float-flow-meter/sf100-tb.png
SF100-B-1R-B-TB;483663;products/flow-control/float-flow-meter/sf100-tb.png
SF100-C-1R-B-TB;483664;products/flow-control/float-flow-meter/sf100-tb.png
SF100-E-1R-B-TB;483665;products/flow-control/float-flow-meter/sf100-tb.png
SF100-F-1R-B-TB;483666;products/flow-control/float-flow-meter/sf100-tb.png
SF100-D-1R-B-TB;483667;products/flow-control/float-flow-meter/sf100-tb.png
SF100-G-1R-B-TB;483668;products/flow-control/float-flow-meter/sf100-tb.png
