#,Заказной код,Параметр:Заказной код:Корпус,Параметр:Заказной код:Трубка,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Винт
,NAH-1-1-1-1-V-3,PC,PC,"NPT 1/4""",Нет
,NAH-1-1-2-1-V-3,PC,PC,"NPT 3/8""",Нет
,NAH-1-1-3-1-V-3,PC,PC,"NPT 1/2""",Нет
,NAH-1-1-4-1-V-3,PC,PC,"NPT 3/4""",Нет
,NAH-1-1-5-1-V-3,PC,PC,"NPT 1""",Нет
,NAH-1-2-1-1-V-3,PSU,PSU,"NPT 1/4""",Нет
,NAH-1-2-2-1-V-3,PSU,PSU,"NPT 3/8""",Нет
,NAH-1-2-3-1-V-3,PSU,PSU,"NPT 1/2""",Нет
,NAH-1-2-4-1-V-3,PSU,PSU,"NPT 3/4""",Нет
,NAH-1-2-5-1-V-3,PSU,PSU,"NPT 1""",Нет
,NAH-1-3-1-1-V-3,SS316,Glass,"NPT 1/4""",Нет
,NAH-1-3-2-1-V-3,SS316,Glass,"NPT 3/8""",Нет
,NAH-1-3-3-1-V-3,SS316,Glass,"NPT 1/2""",Нет
,NAH-1-3-4-1-V-3,SS316,Glass,"NPT 3/4""",Нет
,NAH-1-3-5-1-V-3,SS316,Glass,"NPT 1""",Нет
