#,Заказной код,Параметр:Заказной код:Подсоединение инструмента,Параметр:Заказной код:Тип подсоединения,Параметр:Заказной код:Подсоединение процесса,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Материал мембраны
,DT106-B-ISO-1-S,"FNPT 1/4""",ISO2852,"1""",SS316,SS316L
,DT106-B-ISO-2-S,"FNPT 1/4""",ISO2852,"1 1/2""",SS316,SS316L
,DT106-B-ISO-3-S,"FNPT 1/4""",ISO2852,"2""",SS316,SS316L
,DT106-D-ISO-1-S,"FNPT 3/8""",ISO2852,"1""",SS316,SS316L
,DT106-D-ISO-2-S,"FNPT 3/8""",ISO2852,"1 1/2""",SS316,SS316L
,DT106-D-ISO-3-S,"FNPT 3/8""",ISO2852,"2""",SS316,SS316L
,DT106-F-ISO-1-S,"FNPT 1/2""",ISO2852,"1""",SS316,SS316L
,DT106-F-ISO-2-S,"FNPT 1/2""",ISO2852,"1 1/2""",SS316,SS316L
,DT106-F-ISO-3-S,"FNPT 1/2""",ISO2852,"2""",SS316,SS316L
,DT106-M-ISO-1-S,M20x1.5 внутр.,ISO2852,"1""",SS316,SS316L
,DT106-M-ISO-2-S,M20x1.5 внутр.,ISO2852,"1 1/2""",SS316,SS316L
,DT106-M-ISO-3-S,M20x1.5 внутр.,ISO2852,"2""",SS316,SS316L
