#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Штуцер,Параметр:Заказной код:Диапазон давления
,611-10-63-0-40,63 мм,G1/4B,снизу,от 0 до 40 бар
,611-10-63-0-60,63 мм,G1/4B,снизу,от 0 до 60 бар
,611-10-63-0-100,63 мм,G1/4B,снизу,от 0 до 100 бар
,611-10-63-0-160,63 мм,G1/4B,снизу,от 0 до 160 бар
,611-10-63-0-250,63 мм,G1/4B,снизу,от 0 до 250 бар
,611-10-63-600-0,63 мм,G1/4B,снизу,от -600 до 0 мбар
,611-10-63-400-0,63 мм,G1/4B,снизу,от -400 до 0 мбар
,611-10-63-250-0,63 мм,G1/4B,снизу,от -250 до 0 мбар
,611-10-63-160-0,63 мм,G1/4B,снизу,от -160 до 0 мбар
,611-10-63-100-0,63 мм,G1/4B,снизу,от -100 до 0 мбар
,611-10-63-60-0,63 мм,G1/4B,снизу,от -60 до 0 мбар
,611-10-63-40-0,63 мм,G1/4B,снизу,от -40 до 0 мбар
,611-10-63-25-0,63 мм,G1/4B,снизу,от -25 до 0 мбар
,611-10-63-0-25m,63 мм,G1/4B,снизу,от 0 до 25 мбар
,611-10-63-0-40m,63 мм,G1/4B,снизу,от 0 до 40 мбар
,611-10-63-0-60m,63 мм,G1/4B,снизу,от 0 до 60 мбар
,611-10-63-0-100m,63 мм,G1/4B,снизу,от 0 до 100 мбар
,611-10-63-0-160m,63 мм,G1/4B,снизу,от 0 до 160 мбар
,611-10-63-0-250m,63 мм,G1/4B,снизу,от 0 до 250 мбар
,611-10-63-0-400m,63 мм,G1/4B,снизу,от 0 до 400 мбар
,611-10-63-0-600m,63 мм,G1/4B,снизу,от 0 до 600 мбар
,611-10-63-600-0m-b,63 мм,G1/4B,сзади,от -600 до 0 мбар
,611-10-63-400-0m-b,63 мм,G1/4B,сзади,от -400 до 0 мбар
,611-10-63-250-0m-b,63 мм,G1/4B,сзади,от -250 до 0 мбар
,611-10-63-160-0m-b,63 мм,G1/4B,сзади,от -160 до 0 мбар
,611-10-63-100-0m-b,63 мм,G1/4B,сзади,от -100 до 0 мбар
,611-10-63-60-0m-b,63 мм,G1/4B,сзади,от -60 до 0 мбар
,611-10-63-40-0m-b,63 мм,G1/4B,сзади,от -40 до 0 мбар
,611-10-63-25-0m-b,63 мм,G1/4B,сзади,от -25 до 0 мбар
,611-10-63-0-25m-b,63 мм,G1/4B,сзади,от 0 до 25 мбар
,611-10-63-0-40m-b,63 мм,G1/4B,сзади,от 0 до 40 мбар
,611-10-63-0-60m-b,63 мм,G1/4B,сзади,от 0 до 60 мбар
,611-10-63-0-100m-b,63 мм,G1/4B,сзади,от 0 до 100 мбар
,611-10-63-0-160m-b,63 мм,G1/4B,сзади,от 0 до 160 мбар
,611-10-63-0-250m-b,63 мм,G1/4B,сзади,от 0 до 250 мбар
,611-10-63-0-400m-b,63 мм,G1/4B,сзади,от 0 до 400 мбар
,611-10-63-0-600m-b,63 мм,G1/4B,сзади,от 0 до 600 мбар
