#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLLE-006,L0,6,Углеродистая сталь
,SLLE-006.4,L0,6.4,Углеродистая сталь
,SLLE-008,L0,8,Углеродистая сталь
,SLLE-009.5,L0,9.5,Углеродистая сталь
,SLLE-010,L0,10,Углеродистая сталь
,SLLE-012,L0,12,Углеродистая сталь
,SLLE-006S,L0,6,Нержавеющая сталь
,SLLE-006.4S,L0,6.4,Нержавеющая сталь
,SLLE-008S,L0,8,Нержавеющая сталь
,SLLE-009.5S,L0,9.5,Нержавеющая сталь
,SLLE-010S,L0,10,Нержавеющая сталь
,SLLE-012S,L0,12,Нержавеющая сталь
