#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLLE-106,L1,6,Углеродистая сталь
,SLLE-106.4,L1,6.4,Углеродистая сталь
,SLLE-108,L1,8,Углеродистая сталь
,SLLE-109.5,L1,9.5,Углеродистая сталь
,SLLE-110,L1,10,Углеродистая сталь
,SLLE-112,L1,12,Углеродистая сталь
,SLLE-212.7,L2,12.7,Углеродистая сталь
,SLLE-213.5,L2,13.5,Углеродистая сталь
,SLLE-214,L2,14,Углеродистая сталь
,SLLE-215,L2,15,Углеродистая сталь
,SLLE-216,L2,16,Углеродистая сталь
,SLLE-217.2,L2,17.2,Углеродистая сталь
,SLLE-218,L2,18,Углеродистая сталь
,SLLE-319,L3,19,Углеродистая сталь
,SLLE-320,L3,20,Углеродистая сталь
,SLLE-321.3,L3,21.3,Углеродистая сталь
,SLLE-322,L3,22,Углеродистая сталь
,SLLE-325,L3,25,Углеродистая сталь
,SLLE-426.9,L4,26.9,Углеродистая сталь
,SLLE-428,L4,28,Углеродистая сталь
,SLLE-430,L4,30,Углеродистая сталь
,SLLE-532,L5,32,Углеродистая сталь
,SLLE-533.7,L5,33.7,Углеродистая сталь
,SLLE-535,L5,35,Углеродистая сталь
,SLLE-538,L5,38,Углеродистая сталь
,SLLE-540,L5,40,Углеродистая сталь
,SLLE-542,L5,42,Углеродистая сталь
,SLLE-644.5,L6,44.5,Углеродистая сталь
,SLLE-648.3,L6,48.3,Углеродистая сталь
,SLLE-650.8,L6,50.8,Углеродистая сталь
,SLLE-757.2,L7,57.2,Углеродистая сталь
,SLLE-760.3,L7,60.3,Углеродистая сталь
,SLLE-763.5,L7,63.5,Углеродистая сталь
,SLLE-770,L7,70,Углеродистая сталь
,SLLE-773,L7,73,Углеродистая сталь
,SLLE-776.1,L7,76.1,Углеродистая сталь
,SLLE-888.9,L8,88.9,Углеродистая сталь
,SLLE-8102,L8,102,Углеродистая сталь
,SLLE-106S,L1,6,Нержавеющая сталь
,SLLE-106.4S,L1,6.4,Нержавеющая сталь
,SLLE-108S,L1,8,Нержавеющая сталь
,SLLE-109.5S,L1,9.5,Нержавеющая сталь
,SLLE-110S,L1,10,Нержавеющая сталь
,SLLE-112S,L1,12,Нержавеющая сталь
,SLLE-212.7S,L2,12.7,Нержавеющая сталь
,SLLE-213.5S,L2,13.5,Нержавеющая сталь
,SLLE-214S,L2,14,Нержавеющая сталь
,SLLE-215S,L2,15,Нержавеющая сталь
,SLLE-216S,L2,16,Нержавеющая сталь
,SLLE-217.2S,L2,17.2,Нержавеющая сталь
,SLLE-218S,L2,18,Нержавеющая сталь
,SLLE-319S,L3,19,Нержавеющая сталь
,SLLE-320S,L3,20,Нержавеющая сталь
,SLLE-321.3S,L3,21.3,Нержавеющая сталь
,SLLE-322S,L3,22,Нержавеющая сталь
,SLLE-325S,L3,25,Нержавеющая сталь
,SLLE-426.9S,L4,26.9,Нержавеющая сталь
,SLLE-428S,L4,28,Нержавеющая сталь
,SLLE-430S,L4,30,Нержавеющая сталь
,SLLE-532S,L5,32,Нержавеющая сталь
,SLLE-533.7S,L5,33.7,Нержавеющая сталь
,SLLE-535S,L5,35,Нержавеющая сталь
,SLLE-538S,L5,38,Нержавеющая сталь
,SLLE-540S,L5,40,Нержавеющая сталь
,SLLE-542S,L5,42,Нержавеющая сталь
,SLLE-644.5S,L6,44.5,Нержавеющая сталь
,SLLE-648.3S,L6,48.3,Нержавеющая сталь
,SLLE-650.8S,L6,50.8,Нержавеющая сталь
,SLLE-757.2S,L7,57.2,Нержавеющая сталь
,SLLE-760.3S,L7,60.3,Нержавеющая сталь
,SLLE-763.5S,L7,63.5,Нержавеющая сталь
,SLLE-770S,L7,70,Нержавеющая сталь
,SLLE-773S,L7,73,Нержавеющая сталь
,SLLE-776.1S,L7,76.1,Нержавеющая сталь
,SLLE-888.9S,L8,88.9,Нержавеющая сталь
,SLLE-8102S,L8,102,Нержавеющая сталь
