#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLNE-106,L1,6,Углеродистая сталь 
,SLNE-106.4,L1,6.4,Углеродистая сталь 
,SLNE-108,L1,8,Углеродистая сталь 
,SLNE-109.5,L1,9.5,Углеродистая сталь 
,SLNE-110,L1,10,Углеродистая сталь 
,SLNE-112,L1,12,Углеродистая сталь 
,SLNE-212.7,L2,12.7,Углеродистая сталь 
,SLNE-213.5,L2,13.5,Углеродистая сталь 
,SLNE-214,L2,14,Углеродистая сталь 
,SLNE-215,L2,15,Углеродистая сталь 
,SLNE-216,L2,16,Углеродистая сталь 
,SLNE-217.2,L2,17.2,Углеродистая сталь 
,SLNE-218,L2,18,Углеродистая сталь 
,SLNE-319,L3,19,Углеродистая сталь 
,SLNE-320,L3,20,Углеродистая сталь 
,SLNE-321.3,L3,21.3,Углеродистая сталь 
,SLNE-322,L3,22,Углеродистая сталь 
,SLNE-325,L3,25,Углеродистая сталь 
,SLNE-426.9,L4,26.9,Углеродистая сталь 
,SLNE-428,L4,28,Углеродистая сталь 
,SLNE-430,L4,30,Углеродистая сталь 
,SLNE-532,L5,32,Углеродистая сталь 
,SLNE-533.7,L5,33.7,Углеродистая сталь 
,SLNE-535,L5,35,Углеродистая сталь 
,SLNE-538,L5,38,Углеродистая сталь 
,SLNE-540,L5,40,Углеродистая сталь 
,SLNE-542,L5,42,Углеродистая сталь 
,SLNE-644.5,L6,44.5,Углеродистая сталь 
,SLNE-648.3,L6,48.3,Углеродистая сталь 
,SLNE-650.8,L6,50.8,Углеродистая сталь 
,SLNE-757.2,L7,57.2,Углеродистая сталь 
,SLNE-760.3,L7,60.3,Углеродистая сталь 
,SLNE-763.5,L7,63.5,Углеродистая сталь 
,SLNE-770,L7,70,Углеродистая сталь 
,SLNE-773,L7,73,Углеродистая сталь 
,SLNE-776.1,L7,76.1,Углеродистая сталь 
,SLNE-888.9,L8,88.9,Углеродистая сталь 
,SLNE-8102,L8,102,Углеродистая сталь 
,SLNE-106S,L1,6,Нержавеющая сталь 
,SLNE-106.4S,L1,6.4,Нержавеющая сталь 
,SLNE-108S,L1,8,Нержавеющая сталь 
,SLNE-109.5S,L1,9.5,Нержавеющая сталь 
,SLNE-110S,L1,10,Нержавеющая сталь 
,SLNE-112S,L1,12,Нержавеющая сталь 
,SLNE-212.7S,L2,12.7,Нержавеющая сталь 
,SLNE-213.5S,L2,13.5,Нержавеющая сталь 
,SLNE-214S,L2,14,Нержавеющая сталь 
,SLNE-215S,L2,15,Нержавеющая сталь 
,SLNE-216S,L2,16,Нержавеющая сталь 
,SLNE-217.2S,L2,17.2,Нержавеющая сталь 
,SLNE-218S,L2,18,Нержавеющая сталь 
,SLNE-319S,L3,19,Нержавеющая сталь 
,SLNE-320S,L3,20,Нержавеющая сталь 
,SLNE-321.3S,L3,21.3,Нержавеющая сталь 
,SLNE-322S,L3,22,Нержавеющая сталь 
,SLNE-325S,L3,25,Нержавеющая сталь 
,SLNE-426.9S,L4,26.9,Нержавеющая сталь 
,SLNE-428S,L4,28,Нержавеющая сталь 
,SLNE-430S,L4,30,Нержавеющая сталь 
,SLNE-532S,L5,32,Нержавеющая сталь 
,SLNE-533.7S,L5,33.7,Нержавеющая сталь 
,SLNE-535S,L5,35,Нержавеющая сталь 
,SLNE-538S,L5,38,Нержавеющая сталь 
,SLNE-540S,L5,40,Нержавеющая сталь 
,SLNE-542S,L5,42,Нержавеющая сталь 
,SLNE-644.5S,L6,44.5,Нержавеющая сталь 
,SLNE-648.3S,L6,48.3,Нержавеющая сталь 
,SLNE-650.8S,L6,50.8,Нержавеющая сталь 
,SLNE-757.2S,L7,57.2,Нержавеющая сталь 
,SLNE-760.3S,L7,60.3,Нержавеющая сталь 
,SLNE-763.5S,L7,63.5,Нержавеющая сталь 
,SLNE-770S,L7,70,Нержавеющая сталь 
,SLNE-773S,L7,73,Нержавеющая сталь 
,SLNE-776.1S,L7,76.1,Нержавеющая сталь 
,SLNE-888.9S,L8,88.9,Нержавеющая сталь 
,SLNE-8102S,L8,102,Нержавеющая сталь 
