#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,SLPE-106,L1,6,Углеродистая сталь 
,SLPE-106.4,L1,6.4,Углеродистая сталь 
,SLPE-108,L1,8,Углеродистая сталь 
,SLPE-109.5,L1,9.5,Углеродистая сталь 
,SLPE-110,L1,10,Углеродистая сталь 
,SLPE-112,L1,12,Углеродистая сталь 
,SLPE-212.7,L2,12.7,Углеродистая сталь 
,SLPE-213.5,L2,13.5,Углеродистая сталь 
,SLPE-214,L2,14,Углеродистая сталь 
,SLPE-215,L2,15,Углеродистая сталь 
,SLPE-216,L2,16,Углеродистая сталь 
,SLPE-217.2,L2,17.2,Углеродистая сталь 
,SLPE-218,L2,18,Углеродистая сталь 
,SLPE-319,L3,19,Углеродистая сталь 
,SLPE-320,L3,20,Углеродистая сталь 
,SLPE-321.3,L3,21.3,Углеродистая сталь 
,SLPE-322,L3,22,Углеродистая сталь 
,SLPE-325,L3,25,Углеродистая сталь 
,SLPE-426.9,L4,26.9,Углеродистая сталь 
,SLPE-428,L4,28,Углеродистая сталь 
,SLPE-430,L4,30,Углеродистая сталь 
,SLPE-532,L5,32,Углеродистая сталь 
,SLPE-533.7,L5,33.7,Углеродистая сталь 
,SLPE-535,L5,35,Углеродистая сталь 
,SLPE-538,L5,38,Углеродистая сталь 
,SLPE-540,L5,40,Углеродистая сталь 
,SLPE-542,L5,42,Углеродистая сталь 
,SLPE-644.5,L6,44.5,Углеродистая сталь 
,SLPE-648.3,L6,48.3,Углеродистая сталь 
,SLPE-650.8,L6,50.8,Углеродистая сталь 
,SLPE-757.2,L7,57.2,Углеродистая сталь 
,SLPE-760.3,L7,60.3,Углеродистая сталь 
,SLPE-763.5,L7,63.5,Углеродистая сталь 
,SLPE-770,L7,70,Углеродистая сталь 
,SLPE-773,L7,73,Углеродистая сталь 
,SLPE-776.1,L7,76.1,Углеродистая сталь 
,SLPE-888.9,L8,88.9,Углеродистая сталь 
,SLPE-8102,L8,102,Углеродистая сталь 
,SLPE-106S,L1,6,Нержавеющая сталь 
,SLPE-106.4S,L1,6.4,Нержавеющая сталь 
,SLPE-108S,L1,8,Нержавеющая сталь 
,SLPE-109.5S,L1,9.5,Нержавеющая сталь 
,SLPE-110S,L1,10,Нержавеющая сталь 
,SLPE-112S,L1,12,Нержавеющая сталь 
,SLPE-212.7S,L2,12.7,Нержавеющая сталь 
,SLPE-213.5S,L2,13.5,Нержавеющая сталь 
,SLPE-214S,L2,14,Нержавеющая сталь 
,SLPE-215S,L2,15,Нержавеющая сталь 
,SLPE-216S,L2,16,Нержавеющая сталь 
,SLPE-217.2S,L2,17.2,Нержавеющая сталь 
,SLPE-218S,L2,18,Нержавеющая сталь 
,SLPE-319S,L3,19,Нержавеющая сталь 
,SLPE-320S,L3,20,Нержавеющая сталь 
,SLPE-321.3S,L3,21.3,Нержавеющая сталь 
,SLPE-322S,L3,22,Нержавеющая сталь 
,SLPE-325S,L3,25,Нержавеющая сталь 
,SLPE-426.9S,L4,26.9,Нержавеющая сталь 
,SLPE-428S,L4,28,Нержавеющая сталь 
,SLPE-430S,L4,30,Нержавеющая сталь 
,SLPE-532S,L5,32,Нержавеющая сталь 
,SLPE-533.7S,L5,33.7,Нержавеющая сталь 
,SLPE-535S,L5,35,Нержавеющая сталь 
,SLPE-538S,L5,38,Нержавеющая сталь 
,SLPE-540S,L5,40,Нержавеющая сталь 
,SLPE-542S,L5,42,Нержавеющая сталь 
,SLPE-644.5S,L6,44.5,Нержавеющая сталь 
,SLPE-648.3S,L6,48.3,Нержавеющая сталь 
,SLPE-650.8S,L6,50.8,Нержавеющая сталь 
,SLPE-757.2S,L7,57.2,Нержавеющая сталь 
,SLPE-760.3S,L7,60.3,Нержавеющая сталь 
,SLPE-763.5S,L7,63.5,Нержавеющая сталь 
,SLPE-770S,L7,70,Нержавеющая сталь 
,SLPE-773S,L7,73,Нержавеющая сталь 
,SLPE-776.1S,L7,76.1,Нержавеющая сталь 
,SLPE-888.9S,L8,88.9,Нержавеющая сталь 
,SLPE-8102S,L8,102,Нержавеющая сталь 
