#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STLJ-106,T1,6,Углеродистая сталь 
,STLJ-106.4,T1,6.4,Углеродистая сталь 
,STLJ-108,T1,8,Углеродистая сталь 
,STLJ-109.5,T1,9.5,Углеродистая сталь 
,STLJ-110,T1,10,Углеродистая сталь 
,STLJ-112,T1,12,Углеродистая сталь 
,STLJ-212.7,T2,12.7,Углеродистая сталь 
,STLJ-213.5,T2,13.5,Углеродистая сталь 
,STLJ-214,T2,14,Углеродистая сталь 
,STLJ-215,T2,15,Углеродистая сталь 
,STLJ-216,T2,16,Углеродистая сталь 
,STLJ-217.2,T2,17.2,Углеродистая сталь 
,STLJ-218,T2,18,Углеродистая сталь 
,STLJ-319,T3,19,Углеродистая сталь 
,STLJ-320,T3,20,Углеродистая сталь 
,STLJ-321.3,T3,21.3,Углеродистая сталь 
,STLJ-322,T3,22,Углеродистая сталь 
,STLJ-325,T3,25,Углеродистая сталь 
,STLJ-426.9,T4,26.9,Углеродистая сталь 
,STLJ-428,T4,28,Углеродистая сталь 
,STLJ-430,T4,30,Углеродистая сталь 
,STLJ-532,T5,32,Углеродистая сталь 
,STLJ-533.7,T5,33.7,Углеродистая сталь 
,STLJ-535,T5,35,Углеродистая сталь 
,STLJ-538,T5,38,Углеродистая сталь 
,STLJ-540,T5,40,Углеродистая сталь 
,STLJ-542,T5,42,Углеродистая сталь 
,STLJ-106S,T1,6,Нержавеющая сталь 
,STLJ-106.4S,T1,6.4,Нержавеющая сталь 
,STLJ-108S,T1,8,Нержавеющая сталь 
,STLJ-109.5S,T1,9.5,Нержавеющая сталь 
,STLJ-110S,T1,10,Нержавеющая сталь 
,STLJ-112S,T1,12,Нержавеющая сталь 
,STLJ-212.7S,T2,12.7,Нержавеющая сталь 
,STLJ-213.5S,T2,13.5,Нержавеющая сталь 
,STLJ-214S,T2,14,Нержавеющая сталь 
,STLJ-215S,T2,15,Нержавеющая сталь 
,STLJ-216S,T2,16,Нержавеющая сталь 
,STLJ-217.2S,T2,17.2,Нержавеющая сталь 
,STLJ-218S,T2,18,Нержавеющая сталь 
,STLJ-319S,T3,19,Нержавеющая сталь 
,STLJ-320S,T3,20,Нержавеющая сталь 
,STLJ-321.3S,T3,21.3,Нержавеющая сталь 
,STLJ-322S,T3,22,Нержавеющая сталь 
,STLJ-325S,T3,25,Нержавеющая сталь 
,STLJ-426.9S,T4,26.9,Нержавеющая сталь 
,STLJ-428S,T4,28,Нержавеющая сталь 
,STLJ-430S,T4,30,Нержавеющая сталь 
,STLJ-532S,T5,32,Нержавеющая сталь 
,STLJ-533.7S,T5,33.7,Нержавеющая сталь 
,STLJ-535S,T5,35,Нержавеющая сталь 
,STLJ-538S,T5,38,Нержавеющая сталь 
,STLJ-540S,T5,40,Нержавеющая сталь 
,STLJ-542S,T5,42,Нержавеющая сталь 
