#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STNM-106,T1,6,Углеродистая сталь 
,STNM-106.4,T1,6.4,Углеродистая сталь 
,STNM-108,T1,8,Углеродистая сталь 
,STNM-109.5,T1,9.5,Углеродистая сталь 
,STNM-110,T1,10,Углеродистая сталь 
,STNM-112,T1,12,Углеродистая сталь 
,STNM-212.7,T2,12.7,Углеродистая сталь 
,STNM-213.5,T2,13.5,Углеродистая сталь 
,STNM-214,T2,14,Углеродистая сталь 
,STNM-215,T2,15,Углеродистая сталь 
,STNM-216,T2,16,Углеродистая сталь 
,STNM-217.2,T2,17.2,Углеродистая сталь 
,STNM-218,T2,18,Углеродистая сталь 
,STNM-319,T3,19,Углеродистая сталь 
,STNM-320,T3,20,Углеродистая сталь 
,STNM-321.3,T3,21.3,Углеродистая сталь 
,STNM-322,T3,22,Углеродистая сталь 
,STNM-325,T3,25,Углеродистая сталь 
,STNM-426.9,T4,26.9,Углеродистая сталь 
,STNM-428,T4,28,Углеродистая сталь 
,STNM-430,T4,30,Углеродистая сталь 
,STNM-532,T5,32,Углеродистая сталь 
,STNM-533.7,T5,33.7,Углеродистая сталь 
,STNM-535,T5,35,Углеродистая сталь 
,STNM-538,T5,38,Углеродистая сталь 
,STNM-540,T5,40,Углеродистая сталь 
,STNM-542,T5,42,Углеродистая сталь 
,STNM-106S,T1,6,Нержавеющая сталь 
,STNM-106.4S,T1,6.4,Нержавеющая сталь 
,STNM-108S,T1,8,Нержавеющая сталь 
,STNM-109.5S,T1,9.5,Нержавеющая сталь 
,STNM-110S,T1,10,Нержавеющая сталь 
,STNM-112S,T1,12,Нержавеющая сталь 
,STNM-212.7S,T2,12.7,Нержавеющая сталь 
,STNM-213.5S,T2,13.5,Нержавеющая сталь 
,STNM-214S,T2,14,Нержавеющая сталь 
,STNM-215S,T2,15,Нержавеющая сталь 
,STNM-216S,T2,16,Нержавеющая сталь 
,STNM-217.2S,T2,17.2,Нержавеющая сталь 
,STNM-218S,T2,18,Нержавеющая сталь 
,STNM-319S,T3,19,Нержавеющая сталь 
,STNM-320S,T3,20,Нержавеющая сталь 
,STNM-321.3S,T3,21.3,Нержавеющая сталь 
,STNM-322S,T3,22,Нержавеющая сталь 
,STNM-325S,T3,25,Нержавеющая сталь 
,STNM-426.9S,T4,26.9,Нержавеющая сталь 
,STNM-428S,T4,28,Нержавеющая сталь 
,STNM-430S,T4,30,Нержавеющая сталь 
,STNM-532S,T5,32,Нержавеющая сталь 
,STNM-533.7S,T5,33.7,Нержавеющая сталь 
,STNM-535S,T5,35,Нержавеющая сталь 
,STNM-538S,T5,38,Нержавеющая сталь 
,STNM-540S,T5,40,Нержавеющая сталь 
,STNM-542S,T5,42,Нержавеющая сталь 
