#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STPJ-106,T1,6,Углеродистая сталь 
,STPJ-106.4,T1,6.4,Углеродистая сталь 
,STPJ-108,T1,8,Углеродистая сталь 
,STPJ-109.5,T1,9.5,Углеродистая сталь 
,STPJ-110,T1,10,Углеродистая сталь 
,STPJ-112,T1,12,Углеродистая сталь 
,STPJ-212.7,T2,12.7,Углеродистая сталь 
,STPJ-213.5,T2,13.5,Углеродистая сталь 
,STPJ-214,T2,14,Углеродистая сталь 
,STPJ-215,T2,15,Углеродистая сталь 
,STPJ-216,T2,16,Углеродистая сталь 
,STPJ-217.2,T2,17.2,Углеродистая сталь 
,STPJ-218,T2,18,Углеродистая сталь 
,STPJ-319,T3,19,Углеродистая сталь 
,STPJ-320,T3,20,Углеродистая сталь 
,STPJ-321.3,T3,21.3,Углеродистая сталь 
,STPJ-322,T3,22,Углеродистая сталь 
,STPJ-325,T3,25,Углеродистая сталь 
,STPJ-426.9,T4,26.9,Углеродистая сталь 
,STPJ-428,T4,28,Углеродистая сталь 
,STPJ-430,T4,30,Углеродистая сталь 
,STPJ-532,T5,32,Углеродистая сталь 
,STPJ-533.7,T5,33.7,Углеродистая сталь 
,STPJ-535,T5,35,Углеродистая сталь 
,STPJ-538,T5,38,Углеродистая сталь 
,STPJ-540,T5,40,Углеродистая сталь 
,STPJ-542,T5,42,Углеродистая сталь 
,STPJ-106S,T1,6,Нержавеющая сталь 
,STPJ-106.4S,T1,6.4,Нержавеющая сталь 
,STPJ-108S,T1,8,Нержавеющая сталь 
,STPJ-109.5S,T1,9.5,Нержавеющая сталь 
,STPJ-110S,T1,10,Нержавеющая сталь 
,STPJ-112S,T1,12,Нержавеющая сталь 
,STPJ-212.7S,T2,12.7,Нержавеющая сталь 
,STPJ-213.5S,T2,13.5,Нержавеющая сталь 
,STPJ-214S,T2,14,Нержавеющая сталь 
,STPJ-215S,T2,15,Нержавеющая сталь 
,STPJ-216S,T2,16,Нержавеющая сталь 
,STPJ-217.2S,T2,17.2,Нержавеющая сталь 
,STPJ-218S,T2,18,Нержавеющая сталь 
,STPJ-319S,T3,19,Нержавеющая сталь 
,STPJ-320S,T3,20,Нержавеющая сталь 
,STPJ-321.3S,T3,21.3,Нержавеющая сталь 
,STPJ-322S,T3,22,Нержавеющая сталь 
,STPJ-325S,T3,25,Нержавеющая сталь 
,STPJ-426.9S,T4,26.9,Нержавеющая сталь 
,STPJ-428S,T4,28,Нержавеющая сталь 
,STPJ-430S,T4,30,Нержавеющая сталь 
,STPJ-532S,T5,32,Нержавеющая сталь 
,STPJ-533.7S,T5,33.7,Нержавеющая сталь 
,STPJ-535S,T5,35,Нержавеющая сталь 
,STPJ-538S,T5,38,Нержавеющая сталь 
,STPJ-540S,T5,40,Нержавеющая сталь 
,STPJ-542S,T5,42,Нержавеющая сталь 
