#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STPN-106,T1,6,Углеродистая сталь 
,STPN-106.4,T1,6.4,Углеродистая сталь 
,STPN-108,T1,8,Углеродистая сталь 
,STPN-109.5,T1,9.5,Углеродистая сталь 
,STPN-110,T1,10,Углеродистая сталь 
,STPN-112,T1,12,Углеродистая сталь 
,STPN-212.7,T2,12.7,Углеродистая сталь 
,STPN-213.5,T2,13.5,Углеродистая сталь 
,STPN-214,T2,14,Углеродистая сталь 
,STPN-215,T2,15,Углеродистая сталь 
,STPN-216,T2,16,Углеродистая сталь 
,STPN-217.2,T2,17.2,Углеродистая сталь 
,STPN-218,T2,18,Углеродистая сталь 
,STPN-319,T3,19,Углеродистая сталь 
,STPN-320,T3,20,Углеродистая сталь 
,STPN-321.3,T3,21.3,Углеродистая сталь 
,STPN-322,T3,22,Углеродистая сталь 
,STPN-325,T3,25,Углеродистая сталь 
,STPN-426.9,T4,26.9,Углеродистая сталь 
,STPN-428,T4,28,Углеродистая сталь 
,STPN-430,T4,30,Углеродистая сталь 
,STPN-532,T5,32,Углеродистая сталь 
,STPN-533.7,T5,33.7,Углеродистая сталь 
,STPN-535,T5,35,Углеродистая сталь 
,STPN-538,T5,38,Углеродистая сталь 
,STPN-540,T5,40,Углеродистая сталь 
,STPN-542,T5,42,Углеродистая сталь 
,STPN-106S,T1,6,Нержавеющая сталь 
,STPN-106.4S,T1,6.4,Нержавеющая сталь 
,STPN-108S,T1,8,Нержавеющая сталь 
,STPN-109.5S,T1,9.5,Нержавеющая сталь 
,STPN-110S,T1,10,Нержавеющая сталь 
,STPN-112S,T1,12,Нержавеющая сталь 
,STPN-212.7S,T2,12.7,Нержавеющая сталь 
,STPN-213.5S,T2,13.5,Нержавеющая сталь 
,STPN-214S,T2,14,Нержавеющая сталь 
,STPN-215S,T2,15,Нержавеющая сталь 
,STPN-216S,T2,16,Нержавеющая сталь 
,STPN-217.2S,T2,17.2,Нержавеющая сталь 
,STPN-218S,T2,18,Нержавеющая сталь 
,STPN-319S,T3,19,Нержавеющая сталь 
,STPN-320S,T3,20,Нержавеющая сталь 
,STPN-321.3S,T3,21.3,Нержавеющая сталь 
,STPN-322S,T3,22,Нержавеющая сталь 
,STPN-325S,T3,25,Нержавеющая сталь 
,STPN-426.9S,T4,26.9,Нержавеющая сталь 
,STPN-428S,T4,28,Нержавеющая сталь 
,STPN-430S,T4,30,Нержавеющая сталь 
,STPN-532S,T5,32,Нержавеющая сталь 
,STPN-533.7S,T5,33.7,Нержавеющая сталь 
,STPN-535S,T5,35,Нержавеющая сталь 
,STPN-538S,T5,38,Нержавеющая сталь 
,STPN-540S,T5,40,Нержавеющая сталь 
,STPN-542S,T5,42,Нержавеющая сталь 
