#,Заказной код,Параметр:Заказной код:Серия,Параметр:Заказной код:D (мм),Параметр:Заказной код:Материал плит и болтов
,STPR-106,T1,6,Углеродистая сталь 
,STPR-106.4,T1,6.4,Углеродистая сталь 
,STPR-108,T1,8,Углеродистая сталь 
,STPR-109.5,T1,9.5,Углеродистая сталь 
,STPR-110,T1,10,Углеродистая сталь 
,STPR-112,T1,12,Углеродистая сталь 
,STPR-212.7,T2,12.7,Углеродистая сталь 
,STPR-213.5,T2,13.5,Углеродистая сталь 
,STPR-214,T2,14,Углеродистая сталь 
,STPR-215,T2,15,Углеродистая сталь 
,STPR-216,T2,16,Углеродистая сталь 
,STPR-217.2,T2,17.2,Углеродистая сталь 
,STPR-218,T2,18,Углеродистая сталь 
,STPR-319,T3,19,Углеродистая сталь 
,STPR-320,T3,20,Углеродистая сталь 
,STPR-321.3,T3,21.3,Углеродистая сталь 
,STPR-322,T3,22,Углеродистая сталь 
,STPR-325,T3,25,Углеродистая сталь 
,STPR-426.9,T4,26.9,Углеродистая сталь 
,STPR-428,T4,28,Углеродистая сталь 
,STPR-430,T4,30,Углеродистая сталь 
,STPR-532,T5,32,Углеродистая сталь 
,STPR-533.7,T5,33.7,Углеродистая сталь 
,STPR-535,T5,35,Углеродистая сталь 
,STPR-538,T5,38,Углеродистая сталь 
,STPR-540,T5,40,Углеродистая сталь 
,STPR-542,T5,42,Углеродистая сталь 
,STPR-106S,T1,6,Нержавеющая сталь 
,STPR-106.4S,T1,6.4,Нержавеющая сталь 
,STPR-108S,T1,8,Нержавеющая сталь 
,STPR-109.5S,T1,9.5,Нержавеющая сталь 
,STPR-110S,T1,10,Нержавеющая сталь 
,STPR-112S,T1,12,Нержавеющая сталь 
,STPR-212.7S,T2,12.7,Нержавеющая сталь 
,STPR-213.5S,T2,13.5,Нержавеющая сталь 
,STPR-214S,T2,14,Нержавеющая сталь 
,STPR-215S,T2,15,Нержавеющая сталь 
,STPR-216S,T2,16,Нержавеющая сталь 
,STPR-217.2S,T2,17.2,Нержавеющая сталь 
,STPR-218S,T2,18,Нержавеющая сталь 
,STPR-319S,T3,19,Нержавеющая сталь 
,STPR-320S,T3,20,Нержавеющая сталь 
,STPR-321.3S,T3,21.3,Нержавеющая сталь 
,STPR-322S,T3,22,Нержавеющая сталь 
,STPR-325S,T3,25,Нержавеющая сталь 
,STPR-426.9S,T4,26.9,Нержавеющая сталь 
,STPR-428S,T4,28,Нержавеющая сталь 
,STPR-430S,T4,30,Нержавеющая сталь 
,STPR-532S,T5,32,Нержавеющая сталь 
,STPR-533.7S,T5,33.7,Нержавеющая сталь 
,STPR-535S,T5,35,Нержавеющая сталь 
,STPR-538S,T5,38,Нержавеющая сталь 
,STPR-540S,T5,40,Нержавеющая сталь 
,STPR-542S,T5,42,Нержавеющая сталь 
