#,Заказной код,Параметр:Заказной код:Резьба,"Параметр:Заказной код:O.D., мм"
,EOBG-01G,"G1/4""","13,2"
,EOBG-02G,"G1/4""","13,2"
,EOBG-03G,"G3/8""","16,5"
,EOBG-04G,"G3/8""","16,5"
,EOBG-05G,"G1/2""","21,3"
,EOBG-06G,"G3/4""","26,6"
,EOBG-08G,"G1""","33,4"
,EOBG-10G,G1,"42,1"
,EOBG-12G,G1,"47,8"
,EOBG-16G,"G2""","59,6"
,EOBG-20G,G2,"75,1"
,EOBG-24G,"G3""","87,8"
,EOBG-32G,"G4""",113
,EOBG-01M,M14*1.5,M14*1.5
,EOBG-02M,M14*1.5,M14*1.5
,EOBG-03M,M16*1.5,M16*1.5
,EOBG-04M,M16*1.5,M16*1.5
,EOBG-05M,M20*1.5,M20*1.5
,EOBG-06M,M25*1.5,M25*1.5
,EOBG-08M,M32*1.5,M32*1.5
,EOBG-10M,M40*1.5,M40*1.5
,EOBG-12M,M50*1.5,M50*1.5
,EOBG-16M,M63*1.5,M63*1.5
,EOBG-20M,M76*2,M76*2
,EOBG-24M,M88*2,M88*2
,EOBG-32M,M114*2,M114*2
,EOBG-03P,PG9,"15,2"
,EOBG-04P,PG11,"18,6"
,EOBG-05P,PG13.5,"20,4"
,EOBG-06P,PG21,"28,3"
,EOBG-08P,PG29,37
,EOBG-10P,PG29,37
,EOBG-12P,PG36,47
,EOBG-16P,PG48,"59,3"
