#,Заказной код,Условное обозначение:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:CV,Параметр:Заказной код:Ду(мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Минимальная температура,Параметр:Заказной код:Максимальная температура,Параметр:Заказной код:Седло Шара,Параметр:Заказной код:Уплотнение штуцеров,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Крепление на панель,Параметр:Заказной код:Сальник
,H1B-A-M-6R,наруж.,414 бар,"7,2","9,7",RT 3/8,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-M-6R-PC,наруж.,414 бар,"7,2","9,7",RT 3/8,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-M-6R-PK,наруж.,690 бар,"7,2","9,7",RT 3/8,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-M-12R,наруж.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-M-12R-PC,наруж.,340 бар,10,"12,7",RT 3/4,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-M-12R-PK,наруж.,410 бар,10,"12,7",RT 3/4,-23°C,191°C,PEEK,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-M-4R,наруж.,414 бар,"3,7","7,1",RT 1/4,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-M-4R-PC,наруж.,414 бар,"3,7","7,1",RT 1/4,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-M-4R-PK,наруж.,690 бар,"3,7","7,1",RT 1/4,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-M-8R,наруж.,414 бар,"7,5",10,RT 1/2,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-M-8R-PC,наруж.,414 бар,"7,5",10,RT 1/2,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-M-8R-PK,наруж.,690 бар,"7,5",10,RT 1/2,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-M-6N,наруж.,414 бар,"7,2","9,7",NPT 3/8,-30°C,130°C,PVDF,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-M-6N,наруж.,414 бар,"7,2","9,7",NPT 3/8,-30°C,130°C,PVDF,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-M-6N-PC,наруж.,414 бар,"7,2","9,7",NPT 3/8,-30°C,180°C,PCTFE,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-M-6N-PC,наруж.,414 бар,"7,2","9,7",NPT 3/8,-30°C,180°C,PCTFE,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-M-6N-PK,наруж.,690 бар,"7,2","9,7",NPT 3/8,-54°C,260°C,PEEK,PTFE,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H1B-A-M-6N-PK,наруж.,690 бар,"7,2","9,7",NPT 3/8,-54°C,260°C,PEEK,PTFE,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-M-12N,наруж.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PVDF,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-M-12N,наруж.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PVDF,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-M-12N-PC,наруж.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PCTFE,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-A-M-12N-PC,наруж.,340 бар,10,"12,7",NPT 3/4,-23°C,191°C,PCTFE,Viton,Угловой 2-х ходовой<br/><img src=assets/inventory/105_AH_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
,H2B-M-12N-PK,наруж.,410 бар,10,"12,7",NPT 3/4,-23°C,191°C,PEEK,Viton,Проходной 2-х ходовой<br/>(по умолчанию)<br/><img src=assets/inventory/105_H_s100_filter.png>,нет<br/><img src=assets/inventory/105-bez-ML.png>,PTFE
