#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Ду,Параметр:Заказной код:Cv,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура,Параметр:Заказной код:Температура максимальная
,B1V-H-3M,Hy-Lok 3мм,"Ø2,4мм","0,2",172 бар,10°C,65°С
,B1V-H-6M,Hy-Lok 6мм,"Ø3,2мм","0,5",172 бар,10°C,65°С
,B2V-H-6M,Hy-Lok 6мм,"Ø4,8мм","2,4",207 бар,10°C,65°С
,B2V-H-8M,Hy-Lok 8мм,"Ø4,8мм","1,5",207 бар,10°C,65°С
,B3V-H-10M,Hy-Lok 10мм,"Ø7,1мм",6,172 бара,10°C,65°С
,B4V-H-12M,Hy-Lok 12мм,"Ø10,3мм",12,172 бара,10°C,65°С
,B4V-H-18M,Hy-Lok 18мм,"Ø10,3мм","6,4",172 бара,10°C,65°С
,B1V-H-1T,"Hy-Lok 1/16""","Ø1,3мм","0,1",172 бар,10°C,65°С
,B1V-H-2T,"Hy-Lok 1/8""","Ø2,4мм","0,2",172 бар,10°C,65°С
,B1V-H-4T,"Hy-Lok 1/4""","Ø3,2мм","0,6",172 бар,10°C,65°С
,B2V-H-4T,"Hy-Lok 1/4""","Ø4,8мм","2,4",207 бар,10°C,65°С
,B2V-H-6T,"Hy-Lok 3/8""","Ø4,8мм","1,5",207 бар,10°C,65°С
,B3V-H-6T,"Hy-Lok 3/8""","Ø7,1мм",6,172 бара,10°C,65°С
,B4V-H-8T,"Hy-Lok 1/2""","Ø10,3мм",12,172 бара,10°C,65°С
,B4V-H-12T,"Hy-Lok 3/4""","Ø10,3мм","6,4",172 бара,10°C,65°С
,B1V-F-2N,"NPT 1/8""","Ø3,2мм","0,5",172 бар,10°C,65°С
,B1V-F-2R,"RT 1/8""","Ø3,2мм","0,5",172 бар,10°C,65°С
,B2V-F-2N,"NPT 1/8""","Ø4,8мм","1,2",207 бар,10°C,65°С
,B2V-F-2R,"RT 1/8""","Ø4,8мм","1,2",207 бар,10°C,65°С
,B2V-F-4N,"NPT 1/4""","Ø4,8мм","0,9",207 бар,10°C,65°С
,B2V-F-4R,"RT 1/4""","Ø4,8мм","0,9",207 бар,10°C,65°С
,B3V-F-4N,"NPT 1/4""","Ø7,1мм",3,172 бара,10°C,65°С
,B3V-F-4R,"RT 1/4""","Ø7,1мм",3,172 бара,10°C,65°С
,B3V-F-6N,"NPT 3/8""","Ø7,1мм","2,6",172 бара,10°C,65°С
,B3V-F-6R,"RT 3/8""","Ø7,1мм","2,6",172 бара,10°C,65°С
,B4V-F-8N,"NPT 1/2""","Ø10,3мм","6,3",172 бара,10°C,65°С
,B4V-F-8R,"RT 1/2""","Ø10,3мм","6,3",172 бара,10°C,65°С
,B2V-M-4N,"NPT 1/4""","Ø4,8мм","1,2",207 бар,10°C,65°С
,B2V-M-4R,"RT 1/4""","Ø4,8мм","1,2",207 бар,10°C,65°С
,B1V-H-6M-SAPW,"под приварку
6мм","Ø3,2мм","0,5",172 бар,10°C,65°С
,B2V-H-6M-SAPW,"под приварку
6мм","Ø4,8мм","2,4",207 бар,10°C,65°С
,B2V-H-8M-SAPW,"под приварку
8мм","Ø4,8мм","1,5",207 бар,10°C,65°С
,B3V-H-10M-SAPW,"под приварку
10мм","Ø7,1мм",6,172 бара,10°C,65°С
,B4V-H-12M-SAPW,"под приварку
12мм","Ø10,3мм",12,172 бара,10°C,65°С
,B1V-H-6M-SAPW-4P,"под приварку
1/4""","Ø3,2мм","0,5",172 бар,10°C,65°С
,B2V-H-6M-SAPW-4P,"под приварку
1/4""","Ø4,8мм","2,4",207 бар,10°C,65°С
,B2V-H-8M-SAPW-4P,"под приварку
1/4""","Ø4,8мм","1,5",207 бар,10°C,65°С
,B3V-H-10M-SAPW-4P,"под приварку
1/4""","Ø7,1мм",6,172 бара,10°C,65°С
,B4V-H-12M-SAPW-8P,"под приварку
1/2""","Ø10,3мм",12,172 бара,10°C,65°С
