#,Серия,Параметр:Серия:Серия,Форма корпуса,Параметр:Форма корпуса:Форма корпуса,Тип подсоединения,Параметр:Тип подсоединения:Тип подсоединения,Размеры подсоединений,Параметр:Размеры подсоединений:Размеры подсоединений,Опция дренажа,Параметр:Форма рукоятки:Форма рукоятки,Применение для кислых сред,Параметр:Применение для кислых сред:Применение для кислых сред,Материал,Параметр:Материал:Материал
,B1V,B1V,-,Проходной 2-х ходовой,H,Трубный фитинг Hy-Lok,4N,NPT 1/4,-,Без дренажа,-,Отсутствует,-,Нерж. Сталь S316
,B2V,B2V,A,Угловой 2-х ходовой,M,Наружная резьба,6N,NPT 3/8,DV,Дренаж линии выхода,SOG,NACE MR-01-75,BRAS,BRAS
,B3V,B3V,3,3-х ходовой,F,Внутренняя резьба,8N,NPT 1/2,UV,Дренаж линии входа,,,,
,B4V,B4V,4,4-х ходовой,MH,Наружная резьба и трубный фитинг Hy-Lok,12N,NPT 3/4,,,,,,
,,,,,HM,Трубный фитинг Hy-Lok и внешняя резьба,16N,NPT 1,,,,,,
,,,,,,,4R,RT (BSPT) 1/4,,,,,,
,,,,,,,6R,RT (BSPT) 3/8,,,,,,
,,,,,,,8R,RT (BSPT) 1/2,,,,,,
,,,,,,,12R,RT (BSPT) 3/4,,,,,,
,,,,,,,16R,RT (BSPT) 1,,,,,,
,,,,,,,4G,G (BSPP) 1/4,,,,,,
,,,,,,,6G,G (BSPP) 3/8,,,,,,
,,,,,,,8G,G (BSPP) 1/2,,,,,,
,,,,,,,12G,G (BSPP) 3/4,,,,,,
,,,,,,,16G,G (BSPP) 1,,,,,,
,,,,,,,3M,Hy-Lok 3mm,,,,,,
,,,,,,,6M,Hy-Lok 6mm,,,,,,
,,,,,,,8M,Hy-Lok 8mm,,,,,,
,,,,,,,10M,Hy-Lok 10mm,,,,,,
,,,,,,,12M,Hy-Lok 12mm,,,,,,
,,,,,,,14M,Hy-Lok 14mm,,,,,,
,,,,,,,16M,Hy-Lok 16mm,,,,,,
,,,,,,,22M,Hy-Lok 22mm,,,,,,
,,,,,,,25M,Hy-Lok 25mm,,,,,,
,,,,,,,2T,Hy-Lok 1/8,,,,,,
,,,,,,,4T,Hy-Lok 1/4,,,,,,
,,,,,,,5T,Hy-Lok 5/16,,,,,,
,,,,,,,6T,Hy-Lok 3/8,,,,,,
,,,,,,,8T,Hy-Lok 1/2,,,,,,
,,,,,,,10T,Hy-Lok 5/8,,,,,,
,,,,,,,12T,Hy-Lok 3/4,,,,,,
,,,,,,,14T,Hy-Lok 7/8,,,,,,
,,,,,,,16T,Hy-Lok 1,,,,,,
