#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Ду,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,
,BVD-T-8S,DIN S8mm,4мм,500бар,-23°C,100°C,
,BVD-T-10S,DIN S10mm,6мм,500бар,-23°C,100°C,
,BVD-T-12S,DIN S12mm,6мм,500бар,-23°C,100°C,
,BVD-T-14S,DIN S14mm,10мм,500бар,-23°C,100°C,
,BVD-T-16S,DIN S16mm,13мм,400бар,-23°C,100°C,
,BVD-T-20S,DIN S20mm,13мм,400бар,-23°C,100°C,
,BVD-T-25S,DIN S25mm,20мм,315бар,-23°C,100°C,
,BVD-T-30S,DIN S30mm,25мм,315бар,-23°C,100°C,
,BVD-T-38S-DN25,DIN S38mm,25мм,315бар,-23°C,100°C,
,BVD-T-38S-DN32,DIN S38mm,32мм,315бар,-23°C,100°C,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
