#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,Параметр:Заказной код:Материал,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,1335M4Y,"NPT 1/4"" наруж.","NPT 1/4"" наруж.",Нерж.сталь,до 345 бар,-54°С,232°С
,1335G2Y,"Lok 1/8""","Lok 1/8""",Нерж.сталь,до 345 бар,-54°С,232°С
,1335G4Y,"Lok 1/4""","Lok 1/4""",Нерж.сталь,до 345 бар,-54°С,232°С
,1335G3YMM,Lok 3mm,Lok 3mm,Нерж.сталь,до 345 бар,-54°С,232°С
,1335G6YMM,Lok 6mm,Lok 6mm,Нерж.сталь,до 345 бар,-54°С,232°С
,1315F2Y,"NPT 1/8"" внутр.","NPT 1/8"" внутр.",Нерж.сталь,до 345 бар,-54°С,232°С
,1315M4Y,"NPT 1/4"" наруж.","NPT 1/4"" наруж.",Нерж.сталь,до 345 бар,-54°С,232°С
,1315G2Y,"Lok 1/8""","Lok 1/8""",Нерж.сталь,до 345 бар,-54°С,232°С
,1315G4Y,"Lok 1/4""","Lok 1/4""",Нерж.сталь,до 345 бар,-54°С,232°С
,1315G3YMM,Lok 3mm,Lok 3mm,Нерж.сталь,до 345 бар,-54°С,232°С
,1315G6YMM,Lok 6mm,Lok 6mm,Нерж.сталь,до 345 бар,-54°С,232°С
,1335H2B,NPT 1⁄8” наруж.,"Lok 1/8""",Латунь,до 207 бар,-54°С,232°С
,1335M4B,NPT 1⁄4” наруж.,NPT 1⁄4” наруж.,Латунь,до 207 бар,-54°С,232°С
,1335G2B,"Lok 1/8""","Lok 1/8""",Латунь,до 207 бар,-54°С,232°С
,1335G4B,"Lok 1/4""","Lok 1/4""",Латунь,до 207 бар,-54°С,232°С
,1315M2B,NPT 1⁄8” наруж.,NPT 1⁄8” наруж.,Латунь,до 207 бар,-54°С,232°С
,1315M4B,NPT 1⁄4” наруж.,NPT 1⁄4” наруж.,Латунь,до 207 бар,-54°С,232°С
,1315G2B,"Lok 1/8""","Lok 1/8""",Латунь,до 207 бар,-54°С,232°С
,1315G4B,"Lok 1/4""","Lok 1/4""",Латунь,до 207 бар,-54°С,232°С
,1345H2Y,"NPT 1/8"" наруж.","Lok 1/8""",Нерж.сталь,до 345 бар,-54°С,232°С
,1345G2Y,"Lok 1/8""","Lok 1/8""",Нерж.сталь,до 345 бар,-54°С,232°С
,1345G4Y,"Lok 1/4""","Lok 1/4""",Нерж.сталь,до 345 бар,-54°С,232°С
,1345G3YMM,Lok 3mm,Lok 3mm,Нерж.сталь,до 345 бар,-54°С,232°С
,1345G6YMM,Lok 6mm,Lok 6mm,Нерж.сталь,до 345 бар,-54°С,232°С
,1325G2Y,"Lok 1/8""","Lok 1/8""",Нерж.сталь,до 345 бар,-54°С,232°С
,1325G4Y,"Lok 1/4""","Lok 1/4""",Нерж.сталь,до 345 бар,-54°С,232°С
,1325G3YMM,Lok 3mm,Lok 3mm,Нерж.сталь,до 345 бар,-54°С,232°С
,1325G6YMM,Lok 6mm,Lok 6mm,Нерж.сталь,до 345 бар,-54°С,232°С
,1345G2B,"Lok 1/8""","Lok 1/8""",Латунь,до 207 бар,-54°С,232°С
,1325F2B,"NPT 1/8"" внутр.","NPT 1/8"" внутр.",Латунь,до 207 бар,-54°С,232°С
,1325H2B,"NPT 1/8"" наруж.","Lok 1/8""",Латунь,до 207 бар,-54°С,232°С
,1325G2B,"Lok 1/8""","Lok 1/8""",Латунь,до 207 бар,-54°С,232°С
,1325G4B,"Lok 1/4""","Lok 1/4""",Латунь,до 207 бар,-54°С,232°С
