#,Заказной код,Параметр:Заказной код:Давление открытия,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал седла,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,CV1-H-3M-1/3,"0,023бар","0,16","4,8",Hy-Lok 3mm,Viton,206бар,-23°С,191°С
,CV1-H-6M-1/3,"0,023бар","0,47","4,8",Hy-Lok 6mm,Viton,206бар,-23°С,191°С
,CV2-H-8M-1/3,"0,023бар","0,47","4,8",Hy-Lok 8mm,Viton,206бар,-23°С,191°С
,CV2-H-10M-1/3,"0,023бар","1,48","7,1",Hy-Lok 10mm,Viton,206бар,-23°С,191°С
,CV3-H-12M-1/3,"0,023бар","1,7",10,Hy-Lok 12mm,Viton,206бар,-23°С,191°С
,CV6-H-25M-1/3,"0,023бар",8,18,Hy-Lok 25mm,Viton,137бар,-23°С,191°С
,CV1-H-2T-1/3,"0,023бар","0,16","4,8",Hy-Lok 1/8,Viton,206бар,-23°С,191°С
,CV1-H-4T-1/3,"0,023бар","0,47","4,8",Hy-Lok 1/4,Viton,206бар,-23°С,191°С
,CV2-H-6T-1/3,"0,023бар","1,48","7,1",Hy-Lok 3/8,Viton,206бар,-23°С,191°С
,CV3-H-8T-1/3,"0,023бар","1,7",10,Hy-Lok 1/2,Viton,206бар,-23°С,191°С
,CV4-H-10T-1/3,"0,023бар","2,6","13,5",Hy-Lok 5/8,Viton,206бар,-23°С,191°С
,CV5-H-12T-1/3,"0,023бар","5,2",16,Hy-Lok 3/4,Viton,137бар,-23°С,191°С
,CV6-H-16T-1/3,"0,023бар",8,18,Hy-Lok 1,Viton,137бар,-23°С,191°С
,CV1-F-2N-1/3,"0,023бар","0,47","4,8",NPT 1/8 внутр.,Viton,206бар,-23°С,191°С
,CV1-F-2R-1/3,"0,023бар","0,47","4,8",RT 1/8 внутр.,Viton,206бар,-23°С,191°С
,CV1-F-4N-1/3,"0,023бар","1,48","7,1",NPT 1/4 внутр.,Viton,206бар,-23°С,191°С
,CV2-F-4R-1/3,"0,023бар","1,48","7,1",RT 1/4 внутр.,Viton,206бар,-23°С,191°С
,CV3-F-6N-1/3,"0,023бар","1,7",10,NPT 3/8 внутр.,Viton,206бар,-23°С,191°С
,CV3-F-6R-1/3,"0,023бар","1,7",10,RT 3/8 внутр.,Viton,206бар,-23°С,191°С
,CV4-F-8N-1/3,"0,023бар","2,6","13,5",NPT 1/2 внутр.,Viton,206бар,-23°С,191°С
,CV4-F-8R-1/3,"0,023бар","2,6","13,5",RT 1/2 внутр.,Viton,206бар,-23°С,191°С
,CV5-F-12R-1/3,"0,023бар","5,2",16,RT 3/4 внутр.,Viton,137бар,-23°С,191°С
,CV6-F-16N-1/3,"0,023бар",8,18,NPT 1 внутр.,Viton,137бар,-23°С,191°С
,CV6-F-16R-1/3,"0,023бар",8,18,RT 1 внутр.,Viton,137бар,-23°С,191°С
,CV1-M-2N-1/3,"0,023бар","0,47","4,8",NPT 1/8 наруж.,Viton,206бар,-23°С,191°С
,CV1-M-2R-1/3,"0,023бар","0,47","4,8",RT 1/8 наруж.,Viton,206бар,-23°С,191°С
,CV1-M-4N-1/3,"0,023бар","0,47","4,8",NPT 1/4 наруж.,Viton,206бар,-23°С,191°С
,CV1-M-4R-1/3,"0,023бар","0,47","4,8",RT 1/4 наруж.,Viton,206бар,-23°С,191°С
,CV2-M-6N-1/3,"0,023бар","1,48","7,1",NPT 3/8 наруж.,Viton,206бар,-23°С,191°С
,CV2-M-6R-1/3,"0,023бар","1,48","7,1",RT 3/8 наруж.,Viton,206бар,-23°С,191°С
,CV3-M-8N-1/3,"0,023бар","1,7",10,NPT 1/2 наруж.,Viton,206бар,-23°С,191°С
,CV3-M-8R-1/3,"0,023бар","1,7",10,RT 1/2 наруж.,Viton,206бар,-23°С,191°С
,CV5-M-12N-1/3,"0,023бар","5,2",16,NPT 3/4 наруж.,Viton,137бар,-23°С,191°С
,CV5-M-12R-1/3,"0,023бар","5,2",16,RT 3/4 наруж.,Viton,137бар,-23°С,191°С
,CV6-M-16N-1/3,"0,023бар",8,18,NPT 1 наруж.,Viton,137бар,-23°С,191°С
,CV6-M-16R-1/3,"0,023бар",8,18,RT 1 наруж.,Viton,137бар,-23°С,191°С
,CV1-H-3M-1/3-BU,"0,023бар","0,16","4,8",Hy-Lok 3mm,Buna N,206бар,-23°С,121°С
,CV1-H-6M-1/3-BU,"0,023бар","0,47","4,8",Hy-Lok 6mm,Buna N,206бар,-23°С,121°С
,CV2-H-8M-1/3-BU,"0,023бар","0,47","4,8",Hy-Lok 8mm,Buna N,206бар,-23°С,121°С
,CV2-H-10M-1/3-BU,"0,023бар","1,48","7,1",Hy-Lok 10mm,Buna N,206бар,-23°С,121°С
,CV3-H-12M-1/3-BU,"0,023бар","1,7",10,Hy-Lok 12mm,Buna N,206бар,-23°С,121°С
,CV6-H-25M-1/3-BU,"0,023бар",8,18,Hy-Lok 25mm,Buna N,137бар,-23°С,121°С
,CV1-H-2T-1/3-BU,"0,023бар","0,16","4,8",Hy-Lok 1/8,Buna N,206бар,-23°С,121°С
,CV1-H-4T-1/3-BU,"0,023бар","0,47","4,8",Hy-Lok 1/4,Buna N,206бар,-23°С,121°С
,CV2-H-6T-1/3-BU,"0,023бар","1,48","7,1",Hy-Lok 3/8,Buna N,206бар,-23°С,121°С
,CV3-H-8T-1/3-BU,"0,023бар","1,7",10,Hy-Lok 1/2,Buna N,206бар,-23°С,121°С
,CV4-H-10T-1/3-BU,"0,023бар","2,6","13,5",Hy-Lok 5/8,Buna N,206бар,-23°С,121°С
,CV5-H-12T-1/3-BU,"0,023бар","5,2",16,Hy-Lok 3/4,Buna N,137бар,-23°С,121°С
,CV6-H-16T-1/3-BU,"0,023бар",8,18,Hy-Lok 1,Buna N,137бар,-23°С,121°С
,CV1-F-2N-1/3-BU,"0,023бар","0,47","4,8",NPT 1/8 внутр.,Buna N,206бар,-23°С,121°С
,CV1-F-2R-1/3-BU,"0,023бар","0,47","4,8",RT 1/8 внутр.,Buna N,206бар,-23°С,121°С
,CV1-F-4N-1/3-BU,"0,023бар","1,48","7,1",NPT 1/4 внутр.,Buna N,206бар,-23°С,121°С
,CV2-F-4R-1/3-BU,"0,023бар","1,48","7,1",RT 1/4 внутр.,Buna N,206бар,-23°С,121°С
,CV3-F-6N-1/3-BU,"0,023бар","1,7",10,NPT 3/8 внутр.,Buna N,206бар,-23°С,121°С
,CV3-F-6R-1/3-BU,"0,023бар","1,7",10,RT 3/8 внутр.,Buna N,206бар,-23°С,121°С
,CV4-F-8N-1/3-BU,"0,023бар","2,6","13,5",NPT 1/2 внутр.,Buna N,206бар,-23°С,121°С
,CV4-F-8R-1/3-BU,"0,023бар","2,6","13,5",RT 1/2 внутр.,Buna N,206бар,-23°С,121°С
,CV5-F-12N-1/3-BU,"0,023бар","5,2",16,NPT 3/4 внутр.,Buna N,137бар,-23°С,121°С
,CV5-F-12R-1/3-BU,"0,023бар","5,2",16,RT 3/4 внутр.,Buna N,137бар,-23°С,121°С
,CV6-F-16N-1/3-BU,"0,023бар",8,18,NPT 1 внутр.,Buna N,137бар,-23°С,121°С
,CV6-F-16R-1/3-BU,"0,023бар",8,18,RT 1 внутр.,Buna N,137бар,-23°С,121°С
,CV1-M-2N-1/3-BU,"0,023бар","0,47","4,8",NPT 1/8 наруж.,Buna N,206бар,-23°С,121°С
,CV1-M-2R-1/3-BU,"0,023бар","0,47","4,8",RT 1/8 наруж.,Buna N,206бар,-23°С,121°С
,CV1-M-4N-1/3-BU,"0,023бар","0,47","4,8",NPT 1/4 наруж.,Buna N,206бар,-23°С,121°С
,CV1-M-4R-1/3-BU,"0,023бар","0,47","4,8",RT 1/4 наруж.,Buna N,206бар,-23°С,121°С
,CV2-M-6N-1/3-BU,"0,023бар","1,48","7,1",NPT 3/8 наруж.,Buna N,206бар,-23°С,121°С
,CV2-M-6R-1/3-BU,"0,023бар","1,48","7,1",RT 3/8 наруж.,Buna N,206бар,-23°С,121°С
,CV3-M-8N-1/3-BU,"0,023бар","1,7",10,NPT 1/2 наруж.,Buna N,206бар,-23°С,121°С
,CV3-M-8R-1/3-BU,"0,023бар","1,7",10,RT 1/2 наруж.,Buna N,206бар,-23°С,121°С
,CV5-M-12N-1/3-BU,"0,023бар","5,2",16,NPT 3/4 наруж.,Buna N,137бар,-23°С,121°С
,CV5-M-12R-1/3-BU,"0,023бар","5,2",16,RT 3/4 наруж.,Buna N,137бар,-23°С,121°С
,CV6-M-16N-1/3-BU,"0,023бар",8,18,NPT 1 наруж.,Buna N,137бар,-23°С,121°С
,CV6-M-16R-1/3-BU,"0,023бар",8,18,RT 1 наруж.,Buna N,137бар,-23°С,121°С
,CV1-H-3M-1/3-KA,"0,023бар","0,16","4,8",Hy-Lok 3mm,Karlez,206бар,-23°С,315°С
,CV1-H-6M-1/3-KA,"0,023бар","0,47","4,8",Hy-Lok 6mm,Karlez,206бар,-23°С,315°С
,CV2-H-8M-1/3-KA,"0,023бар","0,47","4,8",Hy-Lok 8mm,Karlez,206бар,-23°С,315°С
,CV2-H-10M-1/3-KA,"0,023бар","1,48","7,1",Hy-Lok 10mm,Karlez,206бар,-23°С,315°С
,CV3-H-12M-1/3-KA,"0,023бар","1,7",10,Hy-Lok 12mm,Karlez,206бар,-23°С,315°С
,CV6-H-25M-1/3-KA,"0,023бар",8,18,Hy-Lok 25mm,Karlez,137бар,-23°С,315°С
,CV1-H-2T-1/3-KA,"0,023бар","0,16","4,8",Hy-Lok 1/8,Karlez,206бар,-23°С,315°С
,CV1-H-4T-1/3-KA,"0,023бар","0,47","4,8",Hy-Lok 1/4,Karlez,206бар,-23°С,315°С
,CV2-H-6T-1/3-KA,"0,023бар","1,48","7,1",Hy-Lok 3/8,Karlez,206бар,-23°С,315°С
,CV3-H-8T-1/3-KA,"0,023бар","1,7",10,Hy-Lok 1/2,Karlez,206бар,-23°С,315°С
,CV4-H-10T-1/3-KA,"0,023бар","2,6","13,5",Hy-Lok 5/8,Karlez,206бар,-23°С,315°С
,CV5-H-12T-1/3-KA,"0,023бар","5,2",16,Hy-Lok 3/4,Karlez,137бар,-23°С,315°С
,CV6-H-16T-1/3-KA,"0,023бар",8,18,Hy-Lok 1,Karlez,137бар,-23°С,315°С
,CV1-F-2N-1/3-KA,"0,023бар","0,47","4,8",NPT 1/8 внутр.,Karlez,206бар,-23°С,315°С
,CV1-F-2R-1/3-KA,"0,023бар","0,47","4,8",RT 1/8 внутр.,Karlez,206бар,-23°С,315°С
,CV1-F-4N-1/3-KA,"0,023бар","1,48","7,1",NPT 1/4 внутр.,Karlez,206бар,-23°С,315°С
,CV2-F-4R-1/3-KA,"0,023бар","1,48","7,1",RT 1/4 внутр.,Karlez,206бар,-23°С,315°С
,CV3-F-6N-1/3-KA,"0,023бар","1,7",10,NPT 3/8 внутр.,Karlez,206бар,-23°С,315°С
,CV3-F-6R-1/3-KA,"0,023бар","1,7",10,RT 3/8 внутр.,Karlez,206бар,-23°С,315°С
,CV4-F-8N-1/3-KA,"0,023бар","2,6","13,5",NPT 1/2 внутр.,Karlez,206бар,-23°С,315°С
,CV4-F-8R-1/3-KA,"0,023бар","2,6","13,5",RT 1/2 внутр.,Karlez,206бар,-23°С,315°С
,CV5-F-12N-1/3-KA,"0,023бар","5,2",16,NPT 3/4 внутр.,Karlez,137бар,-23°С,315°С
,CV5-F-12R-1/3-KA,"0,023бар","5,2",16,RT 3/4 внутр.,Karlez,137бар,-23°С,315°С
,CV6-F-16N-1/3-KA,"0,023бар",8,18,NPT 1 внутр.,Karlez,137бар,-23°С,315°С
,CV6-F-16R-1/3-KA,"0,023бар",8,18,RT 1 внутр.,Karlez,137бар,-23°С,315°С
,CV1-M-2N-1/3-KA,"0,023бар","0,47","4,8",NPT 1/8 наруж.,Karlez,206бар,-23°С,315°С
,CV1-M-2R-1/3-KA,"0,023бар","0,47","4,8",RT 1/8 наруж.,Karlez,206бар,-23°С,315°С
,CV1-M-4N-1/3-KA,"0,023бар","0,47","4,8",NPT 1/4 наруж.,Karlez,206бар,-23°С,315°С
,CV1-M-4R-1/3-KA,"0,023бар","0,47","4,8",RT 1/4 наруж.,Karlez,206бар,-23°С,315°С
,CV2-M-6N-1/3-KA,"0,023бар","1,48","7,1",NPT 3/8 наруж.,Karlez,206бар,-23°С,315°С
,CV2-M-6R-1/3-KA,"0,023бар","1,48","7,1",RT 3/8 наруж.,Karlez,206бар,-23°С,315°С
,CV3-M-8N-1/3-KA,"0,023бар","1,7",10,NPT 1/2 наруж.,Karlez,206бар,-23°С,315°С
,CV3-M-8R-1/3-KA,"0,023бар","1,7",10,RT 1/2 наруж.,Karlez,206бар,-23°С,315°С
,CV5-M-12N-1/3-KA,"0,023бар","5,2",16,NPT 3/4 наруж.,Karlez,137бар,-23°С,315°С
,CV5-M-12R-1/3-KA,"0,023бар","5,2",16,RT 3/4 наруж.,Karlez,137бар,-23°С,315°С
,CV6-M-16N-1/3-KA,"0,023бар",8,18,NPT 1 наруж.,Karlez,137бар,-23°С,315°С
,CV6-M-16R-1/3-KA,"0,023бар",8,18,RT 1 наруж.,Karlez,137бар,-23°С,315°С
,CV1-H-3M-1/3-PE,"0,023бар","0,16","4,8",Hy-Lok 3mm,PTFE,206бар,-46°С,232°С
,CV1-H-6M-1/3-PE,"0,023бар","0,47","4,8",Hy-Lok 6mm,PTFE,206бар,-46°С,232°С
,CV2-H-8M-1/3-PE,"0,023бар","0,47","4,8",Hy-Lok 8mm,PTFE,206бар,-46°С,232°С
,CV2-H-10M-1/3-PE,"0,023бар","1,48","7,1",Hy-Lok 10mm,PTFE,206бар,-46°С,232°С
,CV3-H-12M-1/3-PE,"0,023бар","1,7",10,Hy-Lok 12mm,PTFE,206бар,-46°С,232°С
,CV6-H-25M-1/3-PE,"0,023бар",8,18,Hy-Lok 25mm,PTFE,137бар,-46°С,232°С
,CV1-H-2T-1/3-PE,"0,023бар","0,16","4,8",Hy-Lok 1/8,PTFE,206бар,-46°С,232°С
,CV1-H-4T-1/3-PE,"0,023бар","0,47","4,8",Hy-Lok 1/4,PTFE,206бар,-46°С,232°С
,CV2-H-6T-1/3-PE,"0,023бар","1,48","7,1",Hy-Lok 3/8,PTFE,206бар,-46°С,232°С
,CV3-H-8T-1/3-PE,"0,023бар","1,7",10,Hy-Lok 1/2,PTFE,206бар,-46°С,232°С
,CV4-H-10T-1/3-PE,"0,023бар","2,6","13,5",Hy-Lok 5/8,PTFE,206бар,-46°С,232°С
,CV5-H-12T-1/3-PE,"0,023бар","5,2",16,Hy-Lok 3/4,PTFE,137бар,-46°С,232°С
,CV6-H-16T-1/3-PE,"0,023бар",8,18,Hy-Lok 1,PTFE,137бар,-46°С,232°С
,CV1-F-2N-1/3-PE,"0,023бар","0,47","4,8",NPT 1/8 внутр.,PTFE,206бар,-46°С,232°С
,CV1-F-2R-1/3-PE,"0,023бар","0,47","4,8",RT 1/8 внутр.,PTFE,206бар,-46°С,232°С
,CV1-F-4N-1/3-PE,"0,023бар","1,48","7,1",NPT 1/4 внутр.,PTFE,206бар,-46°С,232°С
,CV2-F-4R-1/3-PE,"0,023бар","1,48","7,1",RT 1/4 внутр.,PTFE,206бар,-46°С,232°С
,CV3-F-6N-1/3-PE,"0,023бар","1,7",10,NPT 3/8 внутр.,PTFE,206бар,-46°С,232°С
,CV3-F-6R-1/3-PE,"0,023бар","1,7",10,RT 3/8 внутр.,PTFE,206бар,-46°С,232°С
,CV4-F-8N-1/3-PE,"0,023бар","2,6","13,5",NPT 1/2 внутр.,PTFE,206бар,-46°С,232°С
,CV4-F-8R-1/3-PE,"0,023бар","2,6","13,5",RT 1/2 внутр.,PTFE,206бар,-46°С,232°С
,CV5-F-12N-1/3-PE,"0,023бар","5,2",16,NPT 3/4 внутр.,PTFE,137бар,-46°С,232°С
,CV5-F-12R-1/3-PE,"0,023бар","5,2",16,RT 3/4 внутр.,PTFE,137бар,-46°С,232°С
,CV6-F-16N-1/3-PE,"0,023бар",8,18,NPT 1 внутр.,PTFE,137бар,-46°С,232°С
,CV6-F-16R-1/3-PE,"0,023бар",8,18,RT 1 внутр.,PTFE,137бар,-46°С,232°С
,CV1-M-2N-1/3-PE,"0,023бар","0,47","4,8",NPT 1/8 наруж.,PTFE,206бар,-46°С,232°С
,CV1-M-2R-1/3-PE,"0,023бар","0,47","4,8",RT 1/8 наруж.,PTFE,206бар,-46°С,232°С
,CV1-M-4N-1/3-PE,"0,023бар","0,47","4,8",NPT 1/4 наруж.,PTFE,206бар,-46°С,232°С
,CV1-M-4R-1/3-PE,"0,023бар","0,47","4,8",RT 1/4 наруж.,PTFE,206бар,-46°С,232°С
,CV2-M-6N-1/3-PE,"0,023бар","1,48","7,1",NPT 3/8 наруж.,PTFE,206бар,-46°С,232°С
,CV2-M-6R-1/3-PE,"0,023бар","1,48","7,1",RT 3/8 наруж.,PTFE,206бар,-46°С,232°С
,CV3-M-8N-1/3-PE,"0,023бар","1,7",10,NPT 1/2 наруж.,PTFE,206бар,-46°С,232°С
,CV3-M-8R-1/3-PE,"0,023бар","1,7",10,RT 1/2 наруж.,PTFE,206бар,-46°С,232°С
,CV5-M-12N-1/3-PE,"0,023бар","5,2",16,NPT 3/4 наруж.,PTFE,137бар,-46°С,232°С
,CV5-M-12R-1/3-PE,"0,023бар","5,2",16,RT 3/4 наруж.,PTFE,137бар,-46°С,232°С
