#,Заказной код,Параметр:Заказной код:Давления открытия,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал седла,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,CVA-F-4N-A,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 внутр.,Viton,206 бар,-23°,191°C
,CVA-F-8N-A,"0,2..3,5бар",Ø 10мм,NPT 1/2 внутр.,Viton,206 бар,-23°,191°C
,CVA-M-4N-A,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 наруж.,Viton,206 бар,-23°,191°C
,CVA-M-8N-A,"0,2..3,5бар",Ø 10мм,NPT 1/2 наруж.,Viton,206 бар,-23°,191°C
,CVA-M-4R-A,"0,2..3,5бар","Ø 4,8мм",RT 1/4 наруж.,Viton,206 бар,-23°,191°C
,CVA-M-8R-A,"0,2..3,5бар",Ø 10мм,RT 1/2 наруж.,Viton,206 бар,-23°,191°C
,CVA-MF-4N-A,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Viton,206 бар,-23°,191°C
,CVA-MF-8N-A,"0,2..3,5бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Viton,206 бар,-23°,191°C
,CVA-F-4N-B,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 внутр.,Viton,206 бар,-23°,191°C
,CVA-F-8N-B,"3,5..10,3бар",Ø 10мм,NPT 1/2 внутр.,Viton,206 бар,-23°,191°C
,CVA-M-4N-B,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 наруж.,Viton,206 бар,-23°,191°C
,CVA-M-8N-B,"3,5..10,3бар",Ø 10мм,NPT 1/2 наруж.,Viton,206 бар,-23°,191°C
,CVA-M-4R-B,"3,5..10,3бар","Ø 4,8мм",RT 1/4 наруж.,Viton,206 бар,-23°,191°C
,CVA-M-8R-B,"3,5..10,3бар",Ø 10мм,RT 1/2 наруж.,Viton,206 бар,-23°,191°C
,CVA-MF-4N-B,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Viton,206 бар,-23°,191°C
,CVA-MF-8N-B,"3,5..10,3бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Viton,206 бар,-23°,191°C
,CVA-F-4N-C,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 внутр.,Viton,206 бар,-23°,191°C
,CVA-F-8N-C,"10,3..24,1бар",Ø 10мм,NPT 1/2 внутр.,Viton,206 бар,-23°,191°C
,CVA-M-4N-C,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 наруж.,Viton,206 бар,-23°,191°C
,CVA-M-8N-C,"10,3..24,1бар",Ø 10мм,NPT 1/2 наруж.,Viton,206 бар,-23°,191°C
,CVA-M-4R-C,"10,3..24,1бар","Ø 4,8мм",RT 1/4 наруж.,Viton,206 бар,-23°,191°C
,CVA-M-8R-C,"10,3..24,1бар",Ø 10мм,RT 1/2 наруж.,Viton,206 бар,-23°,191°C
,CVA-MF-4N-C,"10,3..24,1бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Viton,206 бар,-23°,191°C
,CVA-MF-8N-C,"10,3..24,1бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Viton,206 бар,-23°,191°C
,CVA-F-4N-D,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 внутр.,Viton,206 бар,-23°,191°C
,CVA-F-8N-D,"24,1..41,4бар",Ø 10мм,NPT 1/2 внутр.,Viton,206 бар,-23°,191°C
,CVA-M-4N-D,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 наруж.,Viton,206 бар,-23°,191°C
,CVA-M-8N-D,"24,1..41,4бар",Ø 10мм,NPT 1/2 наруж.,Viton,206 бар,-23°,191°C
,CVA-M-4R-D,"24,1..41,4бар","Ø 4,8мм",RT 1/4 наруж.,Viton,206 бар,-23°,191°C
,CVA-M-8R-D,"24,1..41,4бар",Ø 10мм,RT 1/2 наруж.,Viton,206 бар,-23°,191°C
,CVA-MF-4N-D,"24,1..41,4бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Viton,206 бар,-23°,191°C
,CVA-MF-8N-D,"24,1..41,4бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Viton,206 бар,-23°,191°C
,CVA-F-4N-A-BU,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 внутр.,Buna N,206 бар,-23°,121°C
,CVA-F-8N-A-BU,"0,2..3,5бар",Ø 10мм,NPT 1/2 внутр.,Buna N,206 бар,-23°,121°C
,CVA-M-4N-A-BU,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 наруж.,Buna N,206 бар,-23°,121°C
,CVA-M-8N-A-BU,"0,2..3,5бар",Ø 10мм,NPT 1/2 наруж.,Buna N,206 бар,-23°,121°C
,CVA-M-4R-A-BU,"0,2..3,5бар","Ø 4,8мм",RT 1/4 наруж.,Buna N,206 бар,-23°,121°C
,CVA-M-8R-A-BU,"0,2..3,5бар",Ø 10мм,RT 1/2 наруж.,Buna N,206 бар,-23°,121°C
,CVA-MF-4N-A-BU,"0,2..3,5бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Buna N,206 бар,-23°,121°C
,CVA-MF-8N-A-BU,"0,2..3,5бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Buna N,206 бар,-23°,121°C
,CVA-F-4N-B-BU,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 внутр.,Buna N,206 бар,-23°,121°C
,CVA-F-8N-B-BU,"3,5..10,3бар",Ø 10мм,NPT 1/2 внутр.,Buna N,206 бар,-23°,121°C
,CVA-M-4N-B-BU,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 наруж.,Buna N,206 бар,-23°,121°C
,CVA-M-8N-B-BU,"3,5..10,3бар",Ø 10мм,NPT 1/2 наруж.,Buna N,206 бар,-23°,121°C
,CVA-M-4R-B-BU,"3,5..10,3бар","Ø 4,8мм",RT 1/4 наруж.,Buna N,206 бар,-23°,121°C
,CVA-M-8R-B-BU,"3,5..10,3бар",Ø 10мм,RT 1/2 наруж.,Buna N,206 бар,-23°,121°C
,CVA-MF-4N-B-BU,"3,5..10,3бар","Ø 4,8мм",NPT 1/4 наруж. и внутр.,Buna N,206 бар,-23°,121°C
,CVA-MF-8N-B-BU,"3,5..10,3бар",Ø 10мм,NPT 1/2 наруж. и внутр.,Buna N,206 бар,-23°,121°C
