#,Заказной код,Параметр:Заказной код:Cv,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,Параметр:Заказной код:Материал,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,
,MT1-H-2T-1D-V,0.010,"Hy-Lok 1/8""","Hy-Lok 1/8""",Нерж.сталь,-54°C,232°С,
,MT1-H-2T-3D-V,0.024,"Hy-Lok 1/8""","Hy-Lok 1/8""",Нерж.сталь,-54°C,232°С,
,MT1-H-4T-1D-V,0.010,"Hy-Lok 1/4""","Hy-Lok 1/4""",Нерж.сталь,-54°C,232°С,
,MT1-H-4T-3D-V,0.024,"Hy-Lok 1/4""","Hy-Lok 1/4""",Нерж.сталь,-54°C,232°С,
,MT1-H-3M-1D-V,0.010,Hy-Lok 3мм,Hy-Lok 3мм,Нерж.сталь,-54°C,232°С,
,MT1-H-3M-3D-V,0.024,Hy-Lok 3мм,Hy-Lok 3мм,Нерж.сталь,-54°C,232°С,
,MT1-H-6M-1D-V,0.010,Hy-Lok 6мм,Hy-Lok 6мм,Нерж.сталь,-54°C,232°С,
,MT1-H-6M-3D-V,0.024,Hy-Lok 6мм,Hy-Lok 6мм,Нерж.сталь,-54°C,232°С,
,MT1-M-4N-1D-V,0.010,"NPT 1/4"" наруж.","NPT 1/4"" наруж.",Нерж.сталь,-54°C,232°С,
,MT1-M-4N-3D-V,0.024,"NPT 1/4"" наруж.","NPT 1/4"" наруж.",Нерж.сталь,-54°C,232°С,
,MT1-H-A-2T-1D-V,0.010,"Hy-Lok 1/8""","Hy-Lok 1/8""",Нерж.сталь,-54°C,232°С,
,MT1-H-A-2T-3D-V,0.024,"Hy-Lok 1/8""","Hy-Lok 1/8""",Нерж.сталь,-54°C,232°С,
,MT1-H-A-4T-1D-V,0.010,"Hy-Lok 1/4""","Hy-Lok 1/4""",Нерж.сталь,-54°C,232°С,
,MT1-H-A-4T-3D-V,0.024,"Hy-Lok 1/4""","Hy-Lok 1/4""",Нерж.сталь,-54°C,232°С,
,MT1-H-A-3M-1D-V,0.010,Hy-Lok 3мм,Hy-Lok 3мм,Нерж.сталь,-54°C,232°С,
,MT1-H-A-3M-3D-V,0.024,Hy-Lok 3мм,Hy-Lok 3мм,Нерж.сталь,-54°C,232°С,
,MT1-H-A-6M-1D-V,0.010,Hy-Lok 6мм,Hy-Lok 6мм,Нерж.сталь,-54°C,232°С,
,MT1-H-A-6M-3D-V,0.024,Hy-Lok 6мм,Hy-Lok 6мм,Нерж.сталь,-54°C,232°С,
