#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Cv,Параметр:Заказной код:Материал уплотнения,Параметр:Заказной код:Материал
,329340000,"G 3/8""","G 3/4""",6мм,1.4,PTFE,Латунь
,329330000,"RT 3/8""","G 3/4""",6мм,1.4,PTFE,Латунь
,329360000,"G 1/2""","G 3/4""",6мм,1.4,PTFE,Латунь
,329400000,"RT 1/2""","G 3/4""",6мм,1.4,PTFE,Латунь
,329460000,"NPT 1/2""","NPT 3/4""",6мм,1.4,PTFE,Латунь
,329350000,"G 3/4""","G 3/4""",6мм,1.4,PTFE,Латунь
,329450000,"RT 3/4""","G 3/4""",6мм,1.4,PTFE,Латунь
,329380000,"RT 3/8""","G 3/4""",6мм,1.4,PTFE,Нерж.сталь
,329390000,"G 1/2""","G 3/4""",6мм,1.4,PTFE,Нерж.сталь
,329470000,"NPT 1/2""","NPT 3/4""",6мм,1.4,PTFE,Нерж.сталь
