#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Cv,Параметр:Заказной код:Материал уплотнения,Параметр:Заказной код:Материал,,
,34610A1247,"G 3/8""","G 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610A1257,"RT 3/8""","G 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610A1267,"NPT 3/8""","G 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610A1277,"G 1/2""","G 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610A1287,"RT 1/2""","G 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610A1297,"NPT 1/2""","G 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610A1307,"G 3/4""","G 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610A1317,"RT 3/4""","G 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610A1327,"NPT 3/4""","G 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610C1247,"G 3/8""","NPT 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610C1257,"RT 3/8""","NPT 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610C1267,"NPT 3/8""","NPT 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610C1277,"G 1/2""","NPT 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610C1287,"RT 1/2""","NPT 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610C1297,"NPT 1/2""","NPT 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610C1307,"G 3/4""","NPT 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610C1317,"RT 3/4""","NPT 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
,34610C1327,"NPT 3/4""","NPT 3/4""",9.5мм,3.4,PTFE,Нерж.сталь,,
