#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная
,T3-F-4N  ,"Hy-Lok 1/4""",-,413 бар,-17°C,121°C
,T3-F-4R  ,"RT 1/4""",-,413 бар,-17°C,121°C
,TH3-F-4N  ,"NPT 1/4""",-,689 бар,-17°C,232°C
,TH3-F-4R  ,"RT 1/4""",-,689 бар,-17°C,232°C
,T3-FH-4N-4T  ,"NPT 1/4""","Hy-Lok 1/4""",413 бар,-17°C,121°C
,T3-FH-4N-6T  ,"NPT 1/4""","3/8""",413 бар,-17°C,121°C
,T3-FH-4N-8T  ,"NPT 1/4""","1/2""",413 бар,-17°C,121°C
,T3-FH-4N-6M  ,"NPT 1/4""",6mm,413 бар,-17°C,121°C
,T3-FH-4N-8M  ,"NPT 1/4""",8mm,413 бар,-17°C,121°C
,T3-FH-4N-10M  ,"NPT 1/4""",10mm,413 бар,-17°C,121°C
,T3-FH-4N-12M  ,"NPT 1/4""",12mm,413 бар,-17°C,121°C
,TH3-FH-4N-4T  ,"NPT 1/4""","1/4""",689 бар,-17°C,232°C
,TH3-FH-4N-6T  ,"NPT 1/4""","3/8""",689 бар,-17°C,232°C
,TH3-FH-4N-8T  ,"NPT 1/4""","1/2""",689 бар,-17°C,232°C
,TH3-FH-4N-6M  ,"NPT 1/4""",6mm,689 бар,-17°C,232°C
,TH3-FH-4N-8M  ,"NPT 1/4""",8mm,689 бар,-17°C,232°C
,TH3-FH-4N-10M  ,"NPT 1/4""",10mm,689 бар,-17°C,232°C
,TH3-FH-4N-12M  ,"NPT 1/4""",12mm,689 бар,-17°C,232°C
,T3-F-4N-2N  ,"NPT 1/4""","NPT 1/8""",413 бар,-17°C,121°C
,TH3-F-4N-2N  ,"NPT 1/4""","NPT 1/8""",689 бар,-17°C,232°C
