#,Заказной код,Параметр:Заказной код:Тип,Параметр:Заказной код:Материал,Параметр:Заказной код:Ду,Параметр:Заказной код:Резьба
,FTB-W-B-1-1-N,С лопаткой,SS316,15A,"NPT 1/2"""
,FTB-W-B-2-1-N,С лопаткой,SS316,20A,"NPT 3/4"""
,FTB-W-B-3-1-N,С лопаткой,SS316,25A,"NPT 1"""
,FTB-W-B-4-1-N,С лопаткой,SS316,32A,"NPT 1 1/4"""
,FTB-W-B-5-1-N,С лопаткой,SS316,40A,"NPT 1 1/2"""
,FTB-W-B-6-1-N,С лопаткой,SS316,50A,"NPT 2"""
,FTB-N-B-1-1-N,Без лопатки,SS316,15A,"NPT 1/2"""
,FTB-N-B-2-1-N,Без лопатки,SS316,20A,"NPT 3/4"""
,FTB-N-B-3-1-N,Без лопатки,SS316,25A,"NPT 1"""
,FTB-N-B-4-1-N,Без лопатки,SS316,32A,"NPT 1 1/4"""
,FTB-N-B-5-1-N,Без лопатки,SS316,40A,"NPT 1 1/2"""
,FTB-N-B-6-1-N,Без лопатки,SS316,50A,"NPT 2"""
