#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Поплавок
,"SM-0,072~0,72-CCM-Water-G-021","0,072-0,72 см³/мин",Стекло
,"SM-0,115~1,15-CCM-Water-G-041","0,115-1,15 см³/мин",Стекло
,"SM-0,13~1,3-CCM-Water-SP-021","0,13-1,3 см³/мин",Cапфир
,"SM-0,21~2,1-CCM-Water-SP-041","0,21-2,1 см³/мин",Cапфир
,"SM-0,33~3,3-CCM-Water-SP-021","0,33-3,3 см³/мин",Нерж. Сталь
,"SM-0,42~4,2-CCM-Water-SS-041","0,42-4,2 см³/мин",Нерж. Сталь
,"SM-0,7~7-CCM-Water-CB-021","0,7-7 см³/мин",Карболой
,"SM-0,78~7,8-CCM-Water-Tan-021","0,78-7,8 см³/мин",Танталум
,"SM-0,9~9-CCM-Water-CB-041","0,9-9 см³/мин",Карболой
,"SM-0,9~9-CCM-Water-G-061","0,9-9 см³/мин",Стекло
,SM-1~10-CCM-Water-Tan-041,1-10 см³/мин,Танталум
,"SM-1,55~15,5-CCM-Water-SP-061","1,55-15,5 см³/мин",Cапфир
,"SM-2,9~29-CCM-Water-SS-061","2,9-29 см³/мин",Нерж. Сталь
,"SM-4,6~46-CCM-Water-CB-061","4,6-46 см³/мин",Карболой
,SM-5~50-CCM-Water-Tan-061,5-50 см³/мин,Танталум
,"SM-4,4~44-CCM-Water-G-081","4,4-44 см³/мин",Стекло
,"SM-6,8~68-CCM-Water-SP-081","6,8-68 см³/мин",Cапфир
,SM-11~110-CCM-Water-SS-081,11-110 см³/мин,Нерж. Сталь
,SM-17~170-CCM-Water-CB-081,17-170 см³/мин,Карболой
,SM-18~180-CCM-Water-Tan-081,18-180 см³/мин,Танталум
