#,Заказной код,Параметр:Заказной код:Расход,Параметр:Заказной код:Дисплей,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Управление,Параметр:Заказной код:Зарядное устрйство
,TMFC-00-A-1-W-1-A-1,0-100 нл/мин,Дисплей,0~5 VDC,Ручное,Есть
,TMFC-01-A-1-W-1-A-1,0-150 нл/мин,Дисплей,0~5 VDC,Ручное,Есть
,TMFC-02-A-1-W-1-A-1,0-200 нл/мин,Дисплей,0~5 VDC,Ручное,Есть
,TMFC-00-A-1-W-1-A-2,0-100 нл/мин,Дисплей,0~5 VDC,Ручное,Нет
,TMFC-01-A-1-W-1-A-2,0-150 нл/мин,Дисплей,0~5 VDC,Ручное,Нет
,TMFC-02-A-1-W-1-A-2,0-200 нл/мин,Дисплей,0~5 VDC,Ручное,Нет
,TMFC-00-A-1-W-1-B-1,0-100 нл/мин,Дисплей,0~5 VDC,0~5 VDC,Есть
,TMFC-01-A-1-W-1-B-1,0-150 нл/мин,Дисплей,0~5 VDC,0~5 VDC,Есть
,TMFC-02-A-1-W-1-B-1,0-200 нл/мин,Дисплей,0~5 VDC,0~5 VDC,Есть
,TMFC-00-A-1-W-1-B-2,0-100 нл/мин,Дисплей,0~5 VDC,0~5 VDC,Нет
,TMFC-01-A-1-W-1-B-2,0-150 нл/мин,Дисплей,0~5 VDC,0~5 VDC,Нет
,TMFC-02-A-1-W-1-B-2,0-200 нл/мин,Дисплей,0~5 VDC,0~5 VDC,Нет
,TMFC-00-A-1-W-2-A-1,0-100 нл/мин,Дисплей,4~20мА,Ручное,Есть
,TMFC-01-A-1-W-2-A-1,0-150 нл/мин,Дисплей,4~20мА,Ручное,Есть
,TMFC-02-A-1-W-2-A-1,0-200 нл/мин,Дисплей,4~20мА,Ручное,Есть
,TMFC-00-A-1-W-2-A-2,0-100 нл/мин,Дисплей,4~20мА,Ручное,Нет
,TMFC-01-A-1-W-2-A-2,0-150 нл/мин,Дисплей,4~20мА,Ручное,Нет
,TMFC-02-A-1-W-2-A-2,0-200 нл/мин,Дисплей,4~20мА,Ручное,Нет
,TMFC-00-A-1-W-2-B-1,0-100 нл/мин,Дисплей,4~20мА,0~5 VDC,Есть
,TMFC-01-A-1-W-2-B-1,0-150 нл/мин,Дисплей,4~20мА,0~5 VDC,Есть
,TMFC-02-A-1-W-2-B-1,0-200 нл/мин,Дисплей,4~20мА,0~5 VDC,Есть
,TMFC-00-A-1-W-2-B-2,0-100 нл/мин,Дисплей,4~20мА,0~5 VDC,Нет
,TMFC-01-A-1-W-2-B-2,0-150 нл/мин,Дисплей,4~20мА,0~5 VDC,Нет
,TMFC-02-A-1-W-2-B-2,0-200 нл/мин,Дисплей,4~20мА,0~5 VDC,Нет
,TMFC-00-A-1-B-1-A-1,0-100 нл/мин,Дисплей с синей подсветкой,0~5 VDC,Ручное,Есть
,TMFC-01-A-1-B-1-A-1,0-150 нл/мин,Дисплей с синей подсветкой,0~5 VDC,Ручное,Есть
,TMFC-02-A-1-B-1-A-1,0-200 нл/мин,Дисплей с синей подсветкой,0~5 VDC,Ручное,Есть
,TMFC-00-A-1-B-1-A-2,0-100 нл/мин,Дисплей с синей подсветкой,0~5 VDC,Ручное,Нет
,TMFC-01-A-1-B-1-A-2,0-150 нл/мин,Дисплей с синей подсветкой,0~5 VDC,Ручное,Нет
,TMFC-02-A-1-B-1-A-2,0-200 нл/мин,Дисплей с синей подсветкой,0~5 VDC,Ручное,Нет
,TMFC-00-A-1-B-1-B-1,0-100 нл/мин,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC,Есть
,TMFC-01-A-1-B-1-B-1,0-150 нл/мин,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC,Есть
,TMFC-02-A-1-B-1-B-1,0-200 нл/мин,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC,Есть
,TMFC-00-A-1-B-1-B-2,0-100 нл/мин,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC,Нет
,TMFC-01-A-1-B-1-B-2,0-150 нл/мин,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC,Нет
,TMFC-02-A-1-B-1-B-2,0-200 нл/мин,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC,Нет
,TMFC-00-A-1-B-2-A-1,0-100 нл/мин,Дисплей с синей подсветкой,0~5 VDC,Ручное,Есть
,TMFC-01-A-1-B-2-A-1,0-150 нл/мин,Дисплей с синей подсветкой,0~5 VDC,Ручное,Есть
,TMFC-02-A-1-B-2-A-1,0-200 нл/мин,Дисплей с синей подсветкой,0~5 VDC,Ручное,Есть
,TMFC-00-A-1-B-2-A-2,0-100 нл/мин,Дисплей с синей подсветкой,0~5 VDC,Ручное,Нет
,TMFC-01-A-1-B-2-A-2,0-150 нл/мин,Дисплей с синей подсветкой,0~5 VDC,Ручное,Нет
,TMFC-02-A-1-B-2-A-2,0-200 нл/мин,Дисплей с синей подсветкой,0~5 VDC,Ручное,Нет
,TMFC-00-A-1-B-2-B-1,0-100 нл/мин,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC,Есть
,TMFC-01-A-1-B-2-B-1,0-150 нл/мин,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC,Есть
,TMFC-02-A-1-B-2-B-1,0-200 нл/мин,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC,Есть
,TMFC-00-A-1-B-2-B-2,0-100 нл/мин,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC,Нет
,TMFC-01-A-1-B-2-B-2,0-150 нл/мин,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC,Нет
,TMFC-02-A-1-B-2-B-2,0-200 нл/мин,Дисплей с синей подсветкой,0~5 VDC,0~5 VDC,Нет
,TMFC-00-A-1-0-1-A-1,0-100 нл/мин,Без дисплея,0~5 VDC,Ручное,Есть
,TMFC-01-A-1-0-1-A-1,0-150 нл/мин,Без дисплея,0~5 VDC,Ручное,Есть
,TMFC-02-A-1-0-1-A-1,0-200 нл/мин,Без дисплея,0~5 VDC,Ручное,Есть
,TMFC-00-A-1-0-1-A-2,0-100 нл/мин,Без дисплея,0~5 VDC,Ручное,Нет
,TMFC-01-A-1-0-1-A-2,0-150 нл/мин,Без дисплея,0~5 VDC,Ручное,Нет
,TMFC-02-A-1-0-1-A-2,0-200 нл/мин,Без дисплея,0~5 VDC,Ручное,Нет
,TMFC-00-A-1-0-1-B-1,0-100 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Есть
,TMFC-01-A-1-0-1-B-1,0-150 нл/мин,Без дисплея,0~5 VDC,0~5 VDC,Есть
