#,Заказной код,Параметр:Заказной код:Соединение,Параметр:Заказной код:Давление
,DR60-A025-1,"NPT 1/4""","0-1,7 бар"
,DR60-A050-1,"NPT 1/4""","0-3,5 бар"
,DR60-A100-1,"NPT 1/4""",0-7 бар
,DR60-A200-1,"NPT 1/4""",0-14 бар
,DR60-B025-1,"NPT 1/4""","0-1,7 бар"
,DR60-B050-1,"NPT 1/4""","0-3,5 бар"
,DR60-B100-1,"NPT 1/4""",0-7 бар
,DR60-B200-1,"NPT 1/4""",0-14 бар
,DR60-A025-2,"NPT 1/4""","0-1,7 бар"
,DR60-A050-2,"NPT 1/4""","0-3,5 бар"
,DR60-A100-2,"NPT 1/4""",0-7 бар
,DR60-A200-2,"NPT 1/4""",0-14 бар
,DR60-B025-2,"NPT 1/4""","0-1,7 бар"
,DR60-B050-2,"NPT 1/4""","0-3,5 бар"
,DR60-B100-2,"NPT 1/4""",0-7 бар
,DR60-B200-2,"NPT 1/4""",0-14 бар
