"#","Код","Параметр:Код:Подсоединение инструмента","Параметр:Код:Подсоед. процесса","Параметр:Код:Материал верхней части корпуса","Параметр:Код:Диаметр мембраны","Параметр:Код:Материал нижней части корпуса","Параметр:Код:Материал мембраны"
,"DT116-B-2-1-1-S-S-S","FNPT 1/4","ANSI 150# 1/2","SS316","Ø75","SS316","SS316"
,"DT116-B-2-1-1-S-T-T","FNPT 1/4","ANSI 150# 1/2","SS316","Ø75","SS316+Тефлоновое покрытие","SS316+Тефлоновое покрытие"
,"DT116-B-2-1-2-S-S-S","FNPT 1/4","ANSI 300# 1/2","SS316","Ø75","SS316","SS316"
,"DT116-B-2-1-2-S-T-T","FNPT 1/4","ANSI 300# 1/2","SS316","Ø75","SS316+Тефлоновое покрытие","SS316+Тефлоновое покрытие"
,"DT116-B-2-1-G10-S-S-S","FNPT 1/4","Гост Py10 Dy15","SS316","Ø75","SS316","SS316"
,"DT116-B-2-1-G10-S-T-T","FNPT 1/4","Гост Py10 Dy15","SS316","Ø75","SS316+Тефлоновое покрытие","SS316+Тефлоновое покрытие"
,"DT116-B-2-1-G16-S-S-S","FNPT 1/4","Гост Py16 Dy15","SS316","Ø75","SS316","SS316"
,"DT116-B-2-1-G16-S-T-T","FNPT 1/4","Гост Py16 Dy15","SS316","Ø75","SS316+Тефлоновое покрытие","SS316+Тефлоновое покрытие"
,"DT116-B-2-1-G25-S-S-S","FNPT 1/4","Гост Py25 Dy15","SS316","Ø75","SS316","SS316"
,"DT116-B-2-1-G25-S-T-T","FNPT 1/4","Гост Py25 Dy15","SS316","Ø75","SS316+Тефлоновое покрытие","SS316+Тефлоновое покрытие"
,"DT116-B-2-2-1-S-S-S","FNPT 1/4","ANSI 150# 3/4","SS316","Ø75","SS316","SS316"
,"DT116-B-2-2-1-S-T-T","FNPT 1/4","ANSI 150# 3/4","SS316","Ø75","SS316+Тефлоновое покрытие","SS316+Тефлоновое покрытие"
,"DT116-B-2-2-2-S-S-S","FNPT 1/4","ANSI 300# 3/4","SS316","Ø75","SS316","SS316"
,"DT116-B-2-2-2-S-T-T","FNPT 1/4","ANSI 300# 3/4","SS316","Ø75","SS316+Тефлоновое покрытие","SS316+Тефлоновое покрытие"
,"DT116-B-2-2-G10-S-S-S","FNPT 1/4","Гост Py10 Dy20","SS316","Ø75","SS316","SS316"
,"DT116-B-2-2-G10-S-T-T","FNPT 1/4","Гост Py10 Dy20","SS316","Ø75","SS316+Тефлоновое покрытие","SS316+Тефлоновое покрытие"
,"DT116-B-2-2-G16-S-S-S","FNPT 1/4","Гост Py16 Dy20","SS316","Ø75","SS316","SS316"
,"DT116-B-2-2-G16-S-T-T","FNPT 1/4","Гост Py16 Dy20","SS316","Ø75","SS316+Тефлоновое покрытие","SS316+Тефлоновое покрытие"
