#,Заказной код,Параметр:Заказной код:Подсоединение (внутр),Параметр:Заказной код:Диапазон давлений,Параметр:Заказной код:Материал коннектора,Параметр:Заказной код:Материал уплотнительного кольца,Параметр:Заказной код:Материал защиты,Параметр:Заказной код:Материал шкалы
,UA-200-S-1-1-1-1,NPT 1/4,±100 мм.водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,UA-200-S-1-1-1-2,NPT 1/4,±100 мм.водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,UA-200-S-1-2-1-1,NPT 1/4,±100 мм.водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,UA-200-S-1-2-1-2,NPT 1/4,±100 мм.водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,UA-200-S-1-3-1-1,NPT 1/4,±100 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,UA-200-S-1-3-1-2,NPT 1/4,±100 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,UA-200-S-1-4-1-1,NPT 1/4,±100 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,UA-200-S-1-4-1-2,NPT 1/4,±100 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,UA-200-S-2-1-1-1,G 1/4,±100 мм.водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,UA-200-S-2-1-1-2,G 1/4,±100 мм.водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,UA-200-S-2-2-1-1,G 1/4,±100 мм.водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,UA-200-S-2-2-1-2,G 1/4,±100 мм.водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,UA-200-S-2-3-1-1,G 1/4,±100 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,UA-200-S-2-3-1-2,G 1/4,±100 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,UA-200-S-2-4-1-1,G 1/4,±100 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,UA-200-S-2-4-1-2,G 1/4,±100 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,UA-200-S-3-1-1-1,Нет (для серии UC),±100 мм.водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,UA-200-S-3-1-1-2,Нет (для серии UC),±100 мм.водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,UA-200-S-3-2-1-1,Нет (для серии UC),±100 мм.водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,UA-200-S-3-2-1-2,Нет (для серии UC),±100 мм.водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,UA-200-S-3-3-1-1,Нет (для серии UC),±100 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,UA-200-S-3-3-1-2,Нет (для серии UC),±100 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,UA-200-S-3-4-1-1,Нет (для серии UC),±100 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,UA-200-S-3-4-1-2,Нет (для серии UC),±100 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,UA-200-A-1-1-2-2,NPT 1/4,±100 мм.водяного столба,Алюминий,NBR,Алюминий,Алюминий
,UA-200-A-1-2-2-2,NPT 1/4,±100 мм.водяного столба,Алюминий,Витон,Алюминий,Алюминий
,UA-200-A-1-3-2-2,NPT 1/4,±100 мм.водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,UA-200-A-1-4-2-2,NPT 1/4,±100 мм.водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,UA-200-A-2-1-2-2,G 1/4,±100 мм.водяного столба,Алюминий,NBR,Алюминий,Алюминий
,UA-200-A-2-2-2-2,G 1/4,±100 мм.водяного столба,Алюминий,Витон,Алюминий,Алюминий
,UA-200-A-2-3-2-2,G 1/4,±100 мм.водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,UA-200-A-2-4-2-2,G 1/4,±100 мм.водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,UA-200-A-3-1-2-2,Нет (для серии UC),±100 мм.водяного столба,Алюминий,NBR,Алюминий,Алюминий
,UA-200-A-3-2-2-2,Нет (для серии UC),±100 мм.водяного столба,Алюминий,Витон,Алюминий,Алюминий
,UA-200-A-3-3-2-2,Нет (для серии UC),±100 мм.водяного столба,Алюминий,Тефлон,Алюминий,Алюминий
,UA-200-A-3-4-2-2,Нет (для серии UC),±100 мм.водяного столба,Алюминий,Нет (для серии UC),Алюминий,Алюминий
,UA-300-S-1-1-1-1,NPT 1/4,±150 мм.водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,UA-300-S-1-1-1-2,NPT 1/4,±150 мм.водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,UA-300-S-1-2-1-1,NPT 1/4,±150 мм.водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,UA-300-S-1-2-1-2,NPT 1/4,±150 мм.водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,UA-300-S-1-3-1-1,NPT 1/4,±150 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,UA-300-S-1-3-1-2,NPT 1/4,±150 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,UA-300-S-1-4-1-1,NPT 1/4,±150 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
,UA-300-S-1-4-1-2,NPT 1/4,±150 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,Алюминий
,UA-300-S-2-1-1-1,G 1/4,±150 мм.водяного столба,Нержавеющая сталь,NBR,SS304,SS304
,UA-300-S-2-1-1-2,G 1/4,±150 мм.водяного столба,Нержавеющая сталь,NBR,SS304,Алюминий
,UA-300-S-2-2-1-1,G 1/4,±150 мм.водяного столба,Нержавеющая сталь,Витон,SS304,SS304
,UA-300-S-2-2-1-2,G 1/4,±150 мм.водяного столба,Нержавеющая сталь,Витон,SS304,Алюминий
,UA-300-S-2-3-1-1,G 1/4,±150 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,SS304
,UA-300-S-2-3-1-2,G 1/4,±150 мм.водяного столба,Нержавеющая сталь,Тефлон,SS304,Алюминий
,UA-300-S-2-4-1-1,G 1/4,±150 мм.водяного столба,Нержавеющая сталь,Нет (для серии UC),SS304,SS304
