#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Питание,Параметр:Заказной код:Диапазон измерения,Параметр:Заказной код:Выходной сигнал,Параметр:Заказной код:Корпус
,14217011,"G1/4"" наруж.",15-35 V DC,1 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240409,"G1/4"" наруж.",15-35 V DC,"1,6 бар",Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240414,"G1/4"" наруж.",15-35 V DC,"2,5 бар",Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240416,"G1/4"" наруж.",15-35 V DC,4 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240418,"G1/4"" наруж.",15-35 V DC,6 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240422,"G1/4"" наруж.",15-35 V DC,10 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240424,"G1/4"" наруж.",15-35 V DC,16 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240427,"G1/4"" наруж.",15-35 V DC,25 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240428,"G1/4"" наруж.",15-35 V DC,40 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240430,"G1/4"" наруж.",15-35 V DC,60 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240434,"G1/4"" наруж.",15-35 V DC,100 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240436,"G1/4"" наруж.",15-35 V DC,160 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240440,"G1/4"" наруж.",15-35 V DC,250 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14241998,"G1/4"" наруж.",15-35 V DC,400 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240381,"G1/4"" наруж.",15-35 V DC,-1…0 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240394,"G1/4"" наруж.",15-35 V DC,"-1…1,5 бар",Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240400,"G1/4"" наруж.",15-35 V DC,-1…3 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240402,"G1/4"" наруж.",15-35 V DC,-1…9 бар,Два коммутационных выхода PNP/NPN,Нерж. сталь
,14240471,"G1/4"" наруж.",15-35 V DC,1 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240472,"G1/4"" наруж.",15-35 V DC,"1,6 бар",Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240474,"G1/4"" наруж.",15-35 V DC,"2,5 бар",Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240476,"G1/4"" наруж.",15-35 V DC,4 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240481,"G1/4"" наруж.",15-35 V DC,6 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240486,"G1/4"" наруж.",15-35 V DC,10 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240488,"G1/4"" наруж.",15-35 V DC,16 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240490,"G1/4"" наруж.",15-35 V DC,25 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240492,"G1/4"" наруж.",15-35 V DC,40 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240493,"G1/4"" наруж.",15-35 V DC,60 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240494,"G1/4"" наруж.",15-35 V DC,100 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240495,"G1/4"" наруж.",15-35 V DC,160 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240496,"G1/4"" наруж.",15-35 V DC,250 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14242000,"G1/4"" наруж.",15-35 V DC,400 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240469,"G1/4"" наруж.",15-35 V DC,-1…0 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240449,"G1/4"" наруж.",15-35 V DC,"-1…1,5 бар",Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240463,"G1/4"" наруж.",15-35 V DC,-1…3 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,Нерж. сталь
,14240467,"G1/4"" наруж.",15-35 V DC,-1…9 бар,Два коммутационных выхода PNP/NPN + 4…20 mA,
