#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Диапазон давления
,36587740,"2,5","G 1/4""",черная сталь,"0,6 бар"
,36587741,"2,5","G 1/4""",черная сталь,"2,5 бар"
,36587743,"2,5","G 1/4""",черная сталь,4 бар
,36587744,"2,5","G 1/4""",черная сталь,10 бар
,36587745,"2,5","G 1/4""",черная сталь,16 бар
,36587746,"2,5","G 1/4""",черная сталь,25 бар
,36587747,"2,5","G 1/4""",черная сталь,40 бар
,36587748,"2,5","G 1/4""",черная сталь,70 бар
,36587749,"2,5","G 1/4""",черная сталь,100 бар
,36587750,"2,5","G 1/4""",черная сталь,160 бар
,36587752,"2,5","G 1/4""",черная сталь,250 бар
,36587753,"2,5","G 1/4""",черная сталь,400 бар
,36587754,"2,5","G 1/4""",черная сталь,600 бар
