#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал
,36586347,"2,5",50 мм,"G 1/8""",пластик
,36586348,"2,5",50 мм,"G 1/8""",пластик
,36586349,"2,5",50 мм,"G 1/8""",пластик
,36586350,"2,5",50 мм,"G 1/8""",пластик
,36586351,"2,5",50 мм,"G 1/8""",пластик
,14148965,"2,5",50 мм,"G 1/8""",пластик
,36586352,"2,5",50 мм,"G 1/8""",пластик
,36586353,"2,5",50 мм,"G 1/8""",пластик
,36586354,"2,5",50 мм,"G 1/8""",пластик
,36586355,"2,5",50 мм,"G 1/8""",пластик
