#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Корпус
,36594866,250 мм,"G1/2""","0,6 бар","0,6",Черная сталь
,36594868,250 мм,"G1/2""","2,5 бар","0,6",Черная сталь
,36594869,250 мм,"G1/2""",6 бар,"0,6",Черная сталь
,36594870,250 мм,"G1/2""",10 бар,"0,6",Черная сталь
,36594871,250 мм,"G1/2""",25 бар,"0,6",Черная сталь
,36594872,250 мм,"G1/2""",40 бар,"0,6",Черная сталь
,36594873,250 мм,"G1/2""",70 бар,"0,6",Черная сталь
,36594874,250 мм,"G1/2""",100 бар,"0,6",Черная сталь
,36594875,250 мм,"G1/2""",160 бар,"0,6",Черная сталь
,36594876,250 мм,"G1/2""",250 бар,"0,6",Черная сталь
,36594877,250 мм,"G1/2""",400 бар,"0,6",Черная сталь
,36594878,250 мм,"G1/2""",600 бар,"0,6",Черная сталь
