#,Заказной код,Размер,Параметр:Размер:D,Параметр:Размер:Ниппель,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CAL,2M  ,Hy-Lok 2mm,2mm,-,S316,Нержавеющая сталь
,,3M  ,Hy-Lok 3mm,3mm,BRAS,BRAS,Латунь
,,4M  ,Hy-Lok 4mm,4mm,STEL,STEL,Углеродистая сталь
,,6M  ,Hy-Lok 6mm,6mm,,,
,,8M  ,Hy-Lok 8mm,8mm,,,
,,10M  ,Hy-Lok 10mm,10mm,,,
,,12M  ,Hy-Lok 12mm,12mm,,,
,,14M  ,Hy-Lok 14mm,14mm,,,
,,15M  ,Hy-Lok 15mm,15mm,,,
,,16M  ,Hy-Lok 16mm,16mm,,,
,,18M  ,Hy-Lok 18mm,18mm,,,
,,20M  ,Hy-Lok 20mm,20mm,,,
,,22M  ,Hy-Lok 22mm,22mm,,,
,,25M  ,Hy-Lok 25mm,25mm,,,
,,28M  ,Hy-Lok 28mm,28mm,,,
