#,Заказной код,Размер,"Параметр:Размер:Наруж. диаметр трубы (D, D1)",Параметр:Размер:Резьба NPT (D3),Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CBTF,2-2R  ,"Hy-Lok 1/8""","RT 1/8""",-,S316,Нержавеющая сталь
,,4-2R,"Hy-Lok 1/4""","RT 1/8""",BRAS,BRAS,Латунь
,,4-4R,"Hy-Lok 1/4""","RT 1/4""",STEL,STEL,Углеродистая сталь
,,6-4R,"Hy-Lok 3/8""","RT 1/4""",,,
,,8-4R,"Hy-Lok 1/2""","RT 1/4""",,,
,,8-6R,"Hy-Lok 1/2""","RT 3/8""",,,
,,8-8R,"Hy-Lok 1/2""","RT 1/2""",,,
,,10-8R,"Hy-Lok 5/8""","RT 1/2""",,,
,,12-12R,"Hy-Lok 3/4""","RT 3/4""",,,
,,16-12R,"Hy-Lok 1""","RT 3/4""",,,
,,16-16R,"Hy-Lok 1""","RT 1""",,,
,,3M-2R,Hy-Lok 3mm,"RT 1/8""",,,
,,6M-2R,Hy-Lok 6mm,"RT 1/8""",,,
,,6M-4R,Hy-Lok 6mm,"RT 1/4""",,,
,,6M-6R,Hy-Lok 6mm,"RT 3/8""",,,
,,6M-8R,Hy-Lok 6mm,"RT 1/2""",,,
,,8M-2R,Hy-Lok 8mm,"RT 1/8""",,,
,,8M-4R,Hy-Lok 8mm,"RT 1/4""",,,
,,8M-6R,Hy-Lok 8mm,"RT 3/8""",,,
,,8M-8R,Hy-Lok 8mm,"RT 1/2""",,,
,,10M-4R,Hy-Lok 10mm,"RT 1/4""",,,
,,10M-6R,Hy-Lok 10mm,"RT 3/8""",,,
,,10M-8R,Hy-Lok 10mm,"RT 1/2""",,,
,,12M-4R,Hy-Lok 12mm,"RT 1/4""",,,
,,12M-6R,Hy-Lok 12mm,"RT 3/8""",,,
,,12M-8R,Hy-Lok 12mm,"RT 1/2""",,,
,,16M-8R,Hy-Lok 16mm,"RT 1/2""",,,
,,20M-12R,Hy-Lok 20mm,"RT 3/4""",,,
,,25M-12R,Hy-Lok 25mm,"RT 3/4""",,,
,,25M-16R,Hy-Lok 25mm,"RT 1""",,,
