#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:Резьба RT;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CBTM;2-2R ;"Hy-Lok 1/8""";"RT 1/8""";-;S316;Нержавеющая сталь
;;2-4R ;"Hy-Lok 1/8""";"RT 1/4""";BRAS;BRAS;Латунь
;;3-2R ;"Hy-Lok 3/16""";"RT 1/8""";STEL;STEL;Углеродистая сталь
;;4-2R ;"Hy-Lok 1/4""";"RT 1/8""";;;
;;4-4R ;"Hy-Lok 1/4""";"RT 1/4""";;;
;;5-2R ;"Hy-Lok 5/16""";"RT 1/8""";;;
;;5-4R ;"Hy-Lok 5/16""";"RT 1/4""";;;
;;6-4R ;"Hy-Lok 3/8""";"RT 1/4""";;;
;;6-6R ;"Hy-Lok 3/8""";"RT 3/8""";;;
;;8-6R ;"Hy-Lok 1/2""";"RT 3/8""";;;
;;8-8R ;"Hy-Lok 1/2""";"RT 1/2""";;;
;;10-8R ;"Hy-Lok 5/8""";"RT 1/2""";;;
;;12-12R ;"Hy-Lok 3/4""";"RT 3/4""";;;
;;3M-2N ;Hy-Lok 3mm;"NPT 1/8""";;;
;;3M-4N ;Hy-Lok 3mm;"NPT 1/4""";;;
;;4M-2N ;Hy-Lok 4mm;"NPT 1/8""";;;
;;6M-2N ;Hy-Lok 6mm;"NPT 1/8""";;;
;;6M-4N ;Hy-Lok 6mm;"NPT 1/4""";;;
;;8M-2N ;Hy-Lok 8mm;"NPT 1/8""";;;
;;8M-4N ;Hy-Lok 8mm;"NPT 1/4""";;;
;;10M-4N ;Hy-Lok 10mm;"NPT 1/4""";;;
;;10M-6N ;Hy-Lok 10mm;"NPT 3/8""";;;
;;12M-4N ;Hy-Lok 12mm;"NPT 1/4""";;;
;;12M-6N ;Hy-Lok 12mm;"NPT 3/8""";;;
;;12M-8N ;Hy-Lok 12mm;"NPT 1/2""";;;
;;16M-6N ;Hy-Lok 16mm;"NPT 3/8""";;;
;;16M-8N ;Hy-Lok 16mm;"NPT 1/2""";;;
;;20M-12N ;Hy-Lok 20mm;"NPT 3/4""";;;
