#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:Резьба UNF;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CFU;"""1-2";"Hy-Lok 1/16""";5/16-24;-;S316;Нержавеющая сталь
;;"""2-2";"Hy-Lok 1/8""";5/16-24;BRAS;BRAS;Латунь
;;"""2-4";"Hy-Lok 1/8""";7/16-20;STEL;STEL;Углеродистая сталь
;;"""4-4";"Hy-Lok 1/4""";7/16-20;;;
;;"""5-5";"Hy-Lok 5/16""";1/2-20;;;
;;"""6-4";"Hy-Lok 3/8""";7/16-20;;;
;;"""6-6";"Hy-Lok 3/8""";9/16-18;;;
;;"""8-8";"Hy-Lok 1/2""";3/4-16;;;
;;"""12-12";"Hy-Lok 3/4""";1-1/16-12;;;
;;"""16-16";"Hy-Lok 1""";1-5/16-12;;;
