#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:Резьба G;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CGC;3M-4G;Hy-Lok 3mm;"G 1/4""";-;S316;Нержавеющая сталь
;;6M-2G;Hy-Lok 6mm;"G 1/8""";BRAS;BRAS;Латунь
;;6M-4G;Hy-Lok 6mm;"G 1/4""";STEL;STEL;Углеродистая сталь
;;6M-6G;Hy-Lok 6mm;"G 3/8""";;;
;;6M-8G;Hy-Lok 6mm;"G 1/2""";;;
;;8M-4G;Hy-Lok 8mm;"G 1/4""";;;
;;8M-6G;Hy-Lok 8mm;"G 3/8""";;;
;;8M-8G;Hy-Lok 8mm;"G 1/2""";;;
;;10M-4G;Hy-Lok 10mm;"G 1/4""";;;
;;10M-6G;Hy-Lok 10mm;"G 3/8""";;;
;;10M-8G;Hy-Lok 10mm;"G 1/2""";;;
;;10M-12G;Hy-Lok 10mm;"G 3/4""";;;
;;12M-4G;Hy-Lok 12mm;"G 1/4""";;;
;;12M-6G;Hy-Lok 12mm;"G 3/8""";;;
;;12M-8G;Hy-Lok 12mm;"G 1/2""";;;
;;12M-12G;Hy-Lok 12mm;"G 3/4""";;;
;;12M-16G;Hy-Lok 12mm;"G 1""";;;
;;14M-4G;Hy-Lok 14mm;"G 1/4""";;;
;;14M-8G;Hy-Lok 14mm;"G 1/2""";;;
;;15M-8G;Hy-Lok 15mm;"G 1/2""";;;
;;16M-8G;Hy-Lok 16mm;"G 1/2""";;;
;;18M-8G;Hy-Lok 18mm;"G 1/2""";;;
;;20M-8G;Hy-Lok 20mm;"G 1/2""";;;
;;1-4G;"Hy-Lok 1/16""";"G 1/4""";;;
;;2-2G;"Hy-Lok 1/8""";"G 1/8""";;;
;;2-4G;"Hy-Lok 1/8""";"G 1/4""";;;
;;2-6G;"Hy-Lok 1/8""";"G 3/8""";;;
;;4-2G;"Hy-Lok 1/4""";"G 1/8""";;;
;;4-4G;"Hy-Lok 1/4""";"G 1/4""";;;
;;4-6G;"Hy-Lok 1/4""";"G 3/8""";;;
;;4-8G;"Hy-Lok 1/4""";"G 1/2""";;;
;;5-4G;"Hy-Lok 5/16""";"G 1/4""";;;
;;5-8G;"Hy-Lok 5/16""";"G 1/2""";;;
;;6-4G;"Hy-Lok 3/8""";"G 1/4""";;;
;;6-6G;"Hy-Lok 3/8""";"G 3/8""";;;
;;6-8G;"Hy-Lok 3/8""";"G 1/2""";;;
;;8-4G;"Hy-Lok 1/2""";"G 1/4""";;;
;;8-6G;"Hy-Lok 1/2""";"G 3/8""";;;
;;8-8G;"Hy-Lok 1/2""";"G 1/2""";;;
