#;Заказной код;Размер;Параметр:Размер:Подсоединение (D);Параметр:Размер:Подсоединение (D1);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал;
;CI;4M-3M  ;Hy-Lok 4mm;3mm;-;S316;Нержавеющая сталь;
;;6M-3M  ;Hy-Lok 6mm;3mm;STEL;STEL;Углеродистая сталь;
;;6M-4M  ;Hy-Lok 6mm;4mm;BRAS;BRAS;Латунь;
;;8M-3M  ;Hy-Lok 8mm;3mm;;;;
;;8M-4M  ;Hy-Lok 8mm;4mm;;;;
;;8M-6M  ;Hy-Lok 8mm;6mm;;;;
;;10M-4M  ;Hy-Lok 10mm;4mm;;;;
;;10M-6M  ;Hy-Lok 10mm;6mm;;;;
;;10M-8M  ;Hy-Lok 10mm;8mm;;;;
;;12M-6M  ;Hy-Lok 12mm;6mm;;;;
;;12M-8M  ;Hy-Lok 12mm;8mm;;;;
;;12M-10M  ;Hy-Lok 12mm;10mm;;;;
;;16M-10M  ;Hy-Lok 16mm;10mm;;;;
;;16M-12M  ;Hy-Lok 16mm;12mm;;;;
;;20M-12M  ;Hy-Lok 20mm;12mm;;;;
;;25M-20M  ;Hy-Lok 25mm;20mm;;;;
