#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:Резьба NPT;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CLMB;6M-2N ;Hy-Lok 6mm;"NPT 1/8""";-;S316;Нержавеющая сталь
;;6M-4N ;Hy-Lok 6mm;"NPT 1/4""";BRAS;BRAS;Латунь
;;10M-2N ;Hy-Lok 10mm;"NPT 1/8""";STEL;STEL;Углеродистая сталь
;;10M-4N ;Hy-Lok 10mm;"NPT 1/4""";;;
;;10M-6N ;Hy-Lok 10mm;"NPT 3/8""";;;
;;12M-6N ;Hy-Lok 12mm;"NPT 3/8""";;;
;;12M-8N ;Hy-Lok 12mm;"NPT 1/2""";;;
;;20M-12N ;Hy-Lok 20mm;"NPT 3/4""";;;
;;25M-16N ;Hy-Lok 25mm;"NPT 1""";;;
;;4-2N ;"Hy-Lok 1/4""";"NPT 1/8""";;;
;;4-4N ;"Hy-Lok 1/4""";"NPT 1/4""";;;
;;6-2N ;"Hy-Lok 3/8""";"NPT 1/8""";;;
;;6-4N ;"Hy-Lok 3/8""";"NPT 1/4""";;;
;;6-6N ;"Hy-Lok 3/8""";"NPT 3/8""";;;
;;8-6N ;"Hy-Lok 1/2""";"NPT 3/8""";;;
;;8-8N ;"Hy-Lok 1/2""";"NPT 1/2""";;;
;;12-12N ;"Hy-Lok 3/4""";"NPT 3/4""";;;
;;16-16N ;"Hy-Lok 1""";"NPT 1""";;;
