#,Заказной код,Размер,Параметр:Размер:Наружный диаметр трубы (D),Параметр:Размер:SAE/MS,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CPR,2-1,"Hy-Lok 1/8""","1/16""",-,S316,Нержавеющая сталь
,,4-1,"Hy-Lok 1/4""","1/16""",BRAS,BRAS,Латунь
,,4-2,"Hy-Lok 1/4""","1/8""",STEL,STEL,Углеродистая сталь
,,6-2,"Hy-Lok 3/8""","1/8""",,,
,,6-4,"Hy-Lok 3/8""","1/4""",,,
,,8-4,"Hy-Lok 1/2""","1/4""",,,
,,8-6,"Hy-Lok 1/2""","3/8""",,,
,,12-8,"Hy-Lok 3/4""","1/2""",,,
,,4-6M,"Hy-Lok 1/4""",6mm,,,
,,8-12M,"Hy-Lok 1/2""",12mm,,,
